"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","REM"
"64661099999","2023-01-08T06:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-08T09:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-08T09:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-08T12:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-08T12:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-08T15:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-08T15:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-08T18:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-08T18:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-08T21:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-08T21:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-09T00:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-09T00:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-09T03:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-09T03:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-09T06:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-09T06:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-09T09:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-09T09:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-09T12:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-09T12:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-09T15:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-09T15:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-09T18:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-09T18:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-09T21:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-09T21:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-10T00:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-10T00:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-04-19T09:00:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-04-19T09:09:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-04-19T12:00:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-04-19T12:09:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-04-19T15:00:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-04-19T15:09:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-04-19T18:00:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-04-19T18:09:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
