"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","SA1","REM"
"99770599999","2023-12-07T05:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","030,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0128,1","+9999,9","10239,1","2,1,007,1,+999,9","5,99,0026,1,999","+224,1","SYN080OPTF1 46/// /0303 10128 40239 52007 90500 222// 00224 333 91205 555 11003 22004="
"99770599999","2023-12-07T06:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","050,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0122,1","+9999,9","10242,1","1,1,008,1,+999,9","5,99,0021,1,999","+223,1","SYN080OPTF1 46/// /0502 10122 40242 51008 90600 222// 00223 333 91204 555 11002 22003="
"99770599999","2023-12-07T07:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","060,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0104,1","+9999,9","10239,1","9,9,000,1,+999,9","5,99,0015,1,999","+221,1","SYN080OPTF1 46/// /0602 10104 40239 50000 90700 222// 00221 333 91203 555 11002 22003="
"99770599999","2023-12-07T08:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","030,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0108,1","+9999,9","10239,1","9,9,000,1,+999,9","5,99,0015,1,999","+220,1","SYN080OPTF1 46/// /0303 10108 40239 50000 90800 222// 00220 333 91203 555 11003 22003="
"99770599999","2023-12-07T09:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","040,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0123,1","+9999,9","10241,1","5,1,000,1,+999,9","5,99,0021,1,999","+219,1","SYN080OPTF1 46/// /0403 10123 40241 55000 90900 222// 00219 333 91204 555 11003 22003="
"99770599999","2023-12-07T10:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","020,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0129,1","+9999,9","10240,1","4,1,000,1,+999,9","5,99,0051,1,999","+218,1","SYN080OPTF1 46/// /0208 10129 40240 54000 91000 222// 00218 333 91210 555 11008 22009="
"99770599999","2023-12-07T11:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","020,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0124,1","+9999,9","10244,1","3,1,005,1,+999,9","5,99,0067,1,999","+218,1","SYN080OPTF1 46/// /0209 10124 40244 53005 91100 222// 00218 333 91213 555 11009 22010="
"99770599999","2023-12-07T12:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","030,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0120,1","+9999,9","10246,1","2,1,005,1,+999,9","5,99,0067,1,999","+218,1","SYN080OPTF1 46/// /0308 10120 40246 52005 91200 222// 00218 333 91213 555 11009 22009="
"99770599999","2023-12-07T13:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","020,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0124,1","+9999,9","10249,1","1,1,009,1,+999,9","5,99,0067,1,999","+218,1","SYN080OPTF1 46/// /0207 10124 40249 51009 91300 222// 00218 333 91213 555 11007 22008="
"99770599999","2023-12-07T14:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","030,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0133,1","+9999,9","10250,1","2,1,006,1,+999,9","5,99,0057,1,999","+219,1","SYN080OPTF1 46/// /0306 10133 40250 52006 91400 222// 00219 333 91211 555 11007 22007="
"99770599999","2023-12-07T15:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","030,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0148,1","+9999,9","10253,1","2,1,007,1,+999,9","5,99,0057,1,999","+218,1","SYN080OPTF1 46/// /0307 10148 40253 52007 91500 222// 00218 333 91211 555 11008 22008="
"99770599999","2023-12-07T16:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","030,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0164,1","+9999,9","10248,1","9,9,000,1,+999,9","5,99,0041,1,999","+218,1","SYN080OPTF1 46/// /0305 10164 40248 50000 91600 222// 00218 333 91208 555 11005 22005="
"99770599999","2023-12-07T17:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","030,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0175,1","+9999,9","10238,1","8,1,012,1,+999,9","5,99,0051,1,999","+219,1","SYN080OPTF1 46/// /0307 10175 40238 58012 91700 222// 00219 333 91210 555 11007 22008="
"99770599999","2023-12-07T18:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","080,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0185,1","+9999,9","10228,1","8,1,025,1,+999,9","5,99,0031,1,999","+219,1","SYN080OPTF1 46/// /0804 10185 40228 58025 91800 222// 00219 333 91206 555 11004 22004="
"99770599999","2023-12-07T19:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","120,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0194,1","+9999,9","10217,1","8,1,031,1,+999,9","5,99,0046,1,999",,"SYN068OPTF1 46/// /1203 10194 40217 58031 91900 333 91209 555 11003 22003="
"99770599999","2023-12-07T20:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","090,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0200,1","+9999,9","10214,1","6,1,024,1,+999,9","5,99,0031,1,999","+221,1","SYN080OPTF1 46/// /0904 10200 40214 56024 92000 222// 00221 333 91206 555 11004 22004="
"99770599999","2023-12-07T21:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","100,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0211,1","+9999,9","10215,1","6,1,013,1,+999,9","5,99,0036,1,999","+221,1","SYN080OPTF1 46/// /1003 10211 40215 56013 92100 222// 00221 333 91207 555 11004 22004="
"99770599999","2023-12-07T22:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","080,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0201,1","+9999,9","10215,1","5,1,000,1,+999,9","5,99,0026,1,999","+221,1","SYN080OPTF1 46/// /0804 10201 40215 55000 92200 222// 00221 333 91205 555 11004 22004="
"99770599999","2023-12-07T23:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","080,1,N,0015,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10217,1","2,1,003,1,+999,9","5,99,0026,1,999","+221,1","SYN080OPTF1 46/// /0803 1//// 40217 52003 92300 222// 00221 333 91205 555 11004 22004="
"99770599999","2023-12-08T00:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","070,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0177,1","+9999,9","10220,1","3,1,005,1,+999,9","5,99,0026,1,999","+222,1","SYN080OPTF1 46/// /0704 10177 40220 53005 90000 222// 00222 333 91205 555 11004 22004="
"99770599999","2023-12-08T01:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","070,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0173,1","+9999,9","10223,1","3,1,008,1,+999,9","5,99,0031,1,999","+221,1","SYN080OPTF1 46/// /0704 10173 40223 53008 90100 222// 00221 333 91206 555 11004 22004="
"99770599999","2023-12-08T02:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","080,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0172,1","+9999,9","10224,1","1,1,007,1,+999,9","5,99,0031,1,999","+221,1","SYN080OPTF1 46/// /0804 10172 40224 51007 90200 222// 00221 333 91206 555 11004 22005="
"99770599999","2023-12-08T03:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","090,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0171,1","+9999,9","10224,1","1,1,004,1,+999,9","5,99,0036,1,999","+220,1","SYN080OPTF1 46/// /0905 10171 40224 51004 90300 222// 00220 333 91207 555 11005 22006="
"99770599999","2023-12-08T04:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","100,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0168,1","+9999,9","10222,1","4,1,000,1,+999,9","5,99,0046,1,999","+220,1","SYN080OPTF1 46/// /1005 10168 40222 54000 90400 222// 00220 333 91209 555 11005 22005="
"99770599999","2023-12-08T05:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","080,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0164,1","+9999,9","10222,1","4,1,000,1,+999,9","5,99,0036,1,999","+220,1","SYN080OPTF1 46/// /0805 10164 40222 54000 90500 222// 00220 333 91207 555 11005 22005="
"99770599999","2023-12-08T06:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","090,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0161,1","+9999,9","10218,1","8,1,006,1,+999,9","5,99,0031,1,999","+220,1","SYN080OPTF1 46/// /0904 10161 40218 58006 90600 222// 00220 333 91206 555 11004 22004="
"99770599999","2023-12-08T07:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","090,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0157,1","+9999,9","10213,1","8,1,009,1,+999,9","5,99,0031,1,999","+220,1","SYN080OPTF1 46/// /0904 10157 40213 58009 90700 222// 00220 333 91206 555 11004 22005="
"99770599999","2023-12-08T08:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","080,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0154,1","+9999,9","10211,1","6,1,011,1,+999,9","5,99,0031,1,999","+219,1","SYN080OPTF1 46/// /0804 10154 40211 56011 90800 222// 00219 333 91206 555 11004 22004="
"99770599999","2023-12-08T09:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","090,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0152,1","+9999,9","10207,1","6,1,011,1,+999,9","5,99,0041,1,999","+218,1","SYN080OPTF1 46/// /0905 10152 40207 56011 90900 222// 00218 333 91208 555 11005 22005="
"99770599999","2023-12-08T10:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","090,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0150,1","+9999,9","10210,1","5,1,003,1,+999,9","5,99,0031,1,999","+218,1","SYN080OPTF1 46/// /0904 10150 40210 55003 91000 222// 00218 333 91206 555 11004 22004="
"99770599999","2023-12-08T11:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","080,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0150,1","+9999,9","10213,1",,"5,99,0031,1,999","+217,1","SYN074OPTF1 46/// /0803 10150 40213 91042 222// 00217 333 91206 555 11003 22004="
"99770599999","2023-12-08T12:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","070,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0148,1","+9999,9","10220,1","2,1,013,1,+999,9","5,99,0036,1,999","+217,1","SYN080OPTF1 46/// /0704 10148 40220 52013 91200 222// 00217 333 91207 555 11005 22005="
"99770599999","2023-12-08T13:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","050,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0154,1","+9999,9","10226,1","2,1,016,1,+999,9","5,99,0015,1,999","+216,1","SYN080OPTF1 46/// /0502 10154 40226 52016 91300 222// 00216 333 91203 555 11002 22002="
"99770599999","2023-12-08T14:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","080,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0163,1","+9999,9","10227,1",,"5,99,0031,1,999","+217,1","SYN074OPTF1 46/// /0804 10163 40227 91336 222// 00217 333 91206 555 11005 22005="
