"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","OC1","OD1","OD2","OD3","REM","EQD"
"06331099999","2023-01-02T04:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","200,1,N,0090,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0110,1,999","4,99,0110,1,999","5,99,0100,1,999","SYN04006331 46/// /2009 333 91011 91111 91210=",
"06331099999","2023-01-02T05:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","290,1,N,0070,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0130,1,999","4,99,0080,1,999","5,99,0100,1,999","SYN04006331 46/// /2907 333 91008 91113 91210=",
"06331099999","2023-01-02T06:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","250,1,N,0060,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0130,1,999","4,99,0090,1,999","5,99,0100,1,999","SYN05606331 46/// /2506 333 91009 91113 91210 555 51109 51206=",
"06331099999","2023-01-02T07:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","250,1,N,0070,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0090,1,999","4,99,0090,1,999","5,99,0070,1,999","SYN04006331 46/// /2507 333 91009 91109 91207=",
"06331099999","2023-01-02T08:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","240,1,N,0070,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0090,1,999","4,99,0080,1,999","5,99,0070,1,999","SYN04006331 46/// /2407 333 91008 91109 91207=",
"06331099999","2023-01-02T09:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","230,1,N,0070,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0090,1,999","4,99,0080,1,999","5,99,0070,1,999","SYN05606331 46/// /2307 333 91008 91109 91207 555 51109 51207=",
"06331099999","2023-01-02T10:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","220,1,N,0060,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0080,1,999","4,99,0070,1,999","5,99,0060,1,999","SYN04006331 46/// /2206 333 91007 91108 91206=",
"06331099999","2023-01-02T11:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","210,1,N,0060,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0080,1,999","4,99,0080,1,999","5,99,0060,1,999","SYN04006331 46/// /2106 333 91008 91108 91206=",
"06331099999","2023-01-02T12:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","230,1,N,0070,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0090,1,999","4,99,0090,1,999","5,99,0070,1,999","SYN05606331 46/// /2307 333 91009 91109 91207 555 51109 51207=",
"06331099999","2023-01-02T13:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","230,1,N,0050,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0090,1,999","4,99,0060,1,999","5,99,0070,1,999","SYN04006331 46/// /2305 333 91006 91109 91207=",
"06331099999","2023-01-02T14:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","230,1,N,0060,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0080,1,999","4,99,0070,1,999","5,99,0070,1,999","SYN04006331 46/// /2306 333 91007 91108 91207=",
"06331099999","2023-01-02T15:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","230,1,N,0070,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0090,1,999","4,99,0090,1,999","5,99,0070,1,999","SYN05606331 46/// /2307 333 91009 91109 91207 555 51109 51207=",
"06331099999","2023-01-02T16:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","220,1,N,0060,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0080,1,999","4,99,0080,1,999","5,99,0070,1,999","SYN04006331 46/// /2206 333 91008 91108 91207=",
"06331099999","2023-01-02T17:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","240,1,N,0060,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0090,1,999","4,99,0070,1,999","5,99,0070,1,999","SYN04006331 46/// /2406 333 91007 91109 91207=",
"06331099999","2023-01-02T18:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","240,1,N,0060,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0090,1,999","4,99,0060,1,999","5,99,0070,1,999","SYN05606331 46/// /2406 333 91006 91109 91207 555 51107 51206=",
"06331099999","2023-01-02T19:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","210,1,N,0050,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0060,1,999","4,99,0050,1,999","5,99,0050,1,999","SYN04006331 46/// /2105 333 91005 91106 91205=",
"06331099999","2023-01-02T20:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","210,1,N,0060,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0070,1,999","4,99,0070,1,999","5,99,0060,1,999","SYN04006331 46/// /2106 333 91007 91107 91206=",
"06331099999","2023-01-02T21:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","240,1,N,0040,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0080,1,999","4,99,0050,1,999","5,99,0060,1,999","SYN05606331 46/// /2404 333 91005 91108 91206 555 51108 51206=",
"06331099999","2023-01-02T22:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","220,1,N,0050,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0070,1,999","4,99,0070,1,999","5,99,0050,1,999","SYN04006331 46/// /2205 333 91007 91107 91205=",
"06331099999","2023-01-02T23:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","220,1,N,0060,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0070,1,999","4,99,0070,1,999","5,99,0060,1,999","SYN04006331 46/// /2206 333 91007 91107 91206=",
"06331099999","2023-01-03T00:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","220,1,N,0040,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0080,1,999","4,99,0050,1,999","5,99,0060,1,999","SYN05606331 46/// /2204 333 91005 91108 91206 555 511// 512//=",
"06331099999","2023-01-03T01:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","200,1,N,0040,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0050,1,999","4,99,0050,1,999","5,99,0040,1,999","SYN04006331 46/// /2004 333 91005 91105 91204=",
