"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AW1","AW2","GA1","GA2","GA3","GE1","GF1","MA1","OC1","REM"
"83231599999","2023-01-01T23:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","070,1,N,0021,1","99999,9,9,Y","009900,5,9,9","+0250,1","+0200,1","99999,9",,,,,,,,"10150,1,99999,9",,"MET050METAR SBLE 012300Z AUTO 07004KT CAVOK 25/20 Q1015="
"83231599999","2023-01-02T00:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","100,1,V,0036,1","99999,9,9,Y","009900,5,9,9","+0240,1","+0200,1","99999,9",,,,,,,,"10160,1,99999,9",,"MET058METAR SBLE 020000Z AUTO 10007KT 060V120 CAVOK 24/20 Q1016="
"83231599999","2023-01-02T01:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","090,1,N,0046,1","01433,1,C,N","009999,1,9,9","+0240,1","+0200,1","99999,9",,,"07,1,+01433,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,01433,1,99,9,99,9","10170,1,99999,9",,"MET056METAR SBLE 020100Z AUTO 09009KT 9999 BKN047 24/20 Q1017="
"83231599999","2023-01-02T02:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","090,1,N,0036,1","01311,1,C,N","009999,1,9,9","+0220,1","+0210,1","99999,9",,,"07,1,+01311,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,01311,1,99,9,99,9","10170,1,99999,9",,"MET056METAR SBLE 020200Z AUTO 09007KT 9999 BKN043 22/21 Q1017="
"83231599999","2023-01-02T03:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","100,1,V,0031,1","01463,1,C,N","009999,1,9,9","+0220,1","+0200,1","99999,9",,,"08,1,+01463,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,01463,1,99,9,99,9","10160,1,99999,9",,"MET064METAR SBLE 020300Z AUTO 10006KT 070V130 9999 OVC048 22/20 Q1016="
"83231599999","2023-01-02T04:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","080,1,N,0021,1","01311,1,9,N","009999,1,9,9","+0220,1","+0200,1","99999,9",,,"04,1,+00610,1,99,9","08,1,+01311,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10160,1,99999,9",,"MET063METAR SBLE 020400Z AUTO 08004KT 9999 SCT020 OVC043 22/20 Q1016="
"83231599999","2023-01-02T05:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","040,1,N,0015,1","00579,1,C,N","009999,1,9,9","+0220,1","+0200,1","99999,9",,,"07,1,+00579,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00579,1,99,9,99,9","10160,1,99999,9",,"MET056METAR SBLE 020500Z AUTO 04003KT 9999 BKN019 22/20 Q1016="
"83231599999","2023-01-02T06:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","320,1,N,0010,1","00579,1,C,N","009999,1,9,9","+0210,1","+0200,1","99999,9",,,"07,1,+00579,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00579,1,99,9,99,9","10150,1,99999,9",,"MET056METAR SBLE 020600Z AUTO 32002KT 9999 BKN019 21/20 Q1015="
"83231599999","2023-01-02T07:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","010,1,N,0005,1","00823,1,C,N","009999,1,9,9","+0210,1","+0210,1","99999,9",,,"07,1,+00823,1,99,9","08,1,+00975,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00823,1,99,9,99,9","10160,1,99999,9",,"MET063METAR SBLE 020700Z AUTO 01001KT 9999 BKN027 OVC032 21/21 Q1016="
"83231599999","2023-01-02T08:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","999,9,V,0005,1","00853,1,C,N","009999,1,9,9","+0210,1","+0210,1","99999,9",,,"07,1,+00853,1,99,9","08,1,+01036,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00853,1,99,9,99,9","10160,1,99999,9",,"MET063METAR SBLE 020800Z AUTO VRB01KT 9999 BKN028 OVC034 21/21 Q1016="
"83231599999","2023-01-02T09:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","050,1,N,0010,1","00762,1,C,N","009999,1,9,9","+0210,1","+0200,1","99999,9",,,"07,1,+00762,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00762,1,99,9,99,9","10170,1,99999,9",,"MET056METAR SBLE 020900Z AUTO 05002KT 9999 BKN025 21/20 Q1017="
"83231599999","2023-01-02T10:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","999,9,C,0000,1","00823,1,C,N","009999,1,9,9","+0220,1","+0200,1","99999,9",,,"08,1,+00823,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,00823,1,99,9,99,9","10170,1,99999,9",,"MET056METAR SBLE 021000Z AUTO 00000KT 9999 OVC027 22/20 Q1017="
"83231599999","2023-01-02T11:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","120,1,V,0015,1","00701,1,9,N","009999,1,9,9","+0230,1","+0210,1","99999,9",,,"02,1,+00396,1,99,9","07,1,+00701,1,99,9","08,1,+00914,1,99,9","9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00396,1,99,9,99,9","10170,1,99999,9",,"MET078METAR SBLE 021100Z AUTO 12003KT 050V180 9999 FEW013 BKN023 OVC030 23/21 Q1017="
"83231599999","2023-01-02T12:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","170,1,V,0015,1","01097,1,C,N","009999,1,9,9","+0230,1","+0200,1","99999,9",,,"02,1,+00396,1,99,9","04,1,+01097,1,99,9","08,1,+01280,1,99,9","9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00396,1,99,9,99,9","10170,1,99999,9",,"MET078METAR SBLE 021200Z AUTO 17003KT 100V250 9999 FEW013 SCT036 OVC042 23/20 Q1017="
"83231599999","2023-01-02T13:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","999,9,V,0015,1","01433,1,C,N","009999,1,9,9","+0250,1","+0210,1","99999,9",,,"02,1,+00488,1,99,9","04,1,+01433,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00488,1,99,9,99,9","10170,1,99999,9",,"MET063METAR SBLE 021300Z AUTO VRB03KT 9999 FEW016 SCT047 25/21 Q1017="
"83231599999","2023-01-02T14:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","140,1,V,0026,1","99999,9,9,N","009999,1,9,9","+0260,1","+0210,1","99999,9",,,"04,1,+00762,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00762,1,99,9,99,9","10170,1,99999,9",,"MET064METAR SBLE 021400Z AUTO 14005KT 060V230 9999 SCT025 26/21 Q1017="
"83231599999","2023-01-02T15:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","999,9,V,0026,1","99999,9,9,N","009999,1,9,9","+0270,1","+0210,1","99999,9",,,"04,1,+00914,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00914,1,99,9,99,9","10160,1,99999,9",,"MET056METAR SBLE 021500Z AUTO VRB05KT 9999 SCT030 27/21 Q1016="
"83231599999","2023-01-02T16:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","150,1,V,0026,1","99999,9,9,N","009999,1,9,9","+0280,1","+0220,1","99999,9",,,"04,1,+00914,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00914,1,99,9,99,9","10150,1,99999,9",,"MET064METAR SBLE 021600Z AUTO 15005KT 090V190 9999 SCT030 28/22 Q1015="
"83231599999","2023-01-02T17:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","220,1,V,0036,1","00792,1,C,N","009999,1,9,9","+0270,1","+0210,1","99999,9",,,"07,1,+00792,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00792,1,99,9,99,9","10140,1,99999,9",,"MET064METAR SBLE 021700Z AUTO 22007KT 180V260 9999 BKN026 27/21 Q1014="
"83231599999","2023-01-03T22:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","230,1,V,0021,1","99999,9,9,N","009999,1,9,9","+0210,1","+0210,1","99999,9","61,1",,"02,1,+00701,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00701,1,99,9,99,9","10150,1,99999,9",,"MET068METAR SBLE 032200Z AUTO 23004KT 200V290 9999 -RA FEW023 21/21 Q1015="
"83231599999","2023-01-03T23:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","999,9,V,0010,1","00427,1,C,N","009999,1,9,9","+0210,1","+0210,1","99999,9",,,"07,1,+00427,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00427,1,99,9,99,9","10160,1,99999,9",,"MET056METAR SBLE 032300Z AUTO VRB02KT 9999 BKN014 21/21 Q1016="
"83231599999","2023-01-04T00:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","999,9,V,0010,1","00366,1,C,N","009999,1,9,9","+0210,1","+0210,1","99999,9","61,1",,"07,1,+00366,1,99,9","08,1,+00488,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00366,1,99,9,99,9","10170,1,99999,9",,"MET067METAR SBLE 040000Z AUTO VRB02KT 9999 -RA BKN012 OVC016 21/21 Q1017="
"83231599999","2023-01-04T01:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","999,9,V,0005,1","00396,1,9,N","009999,1,9,9","+0210,1","+0210,1","99999,9",,,"02,1,+00061,1,99,9","07,1,+00396,1,99,9","08,1,+00914,1,99,9","9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00061,1,99,9,99,9","10170,1,99999,9",,"MET070METAR SBLE 040100Z AUTO VRB01KT 9999 FEW002 BKN013 OVC030 21/21 Q1017="
"83231599999","2023-01-04T03:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","270,1,N,0010,1","99999,9,9,N","009000,1,9,9","+0210,1","+0210,1","99999,9",,,,,,,,"10160,1,99999,9",,"MET059METAR SBLE 040300Z AUTO 27002KT 9000 ///////// 21/21 Q1016="
"83231599999","2023-01-04T11:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","250,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0220,1","+0200,1","99999,9",,,,,,,,"10180,1,99999,9",,"MET059METAR SBLE 041100Z AUTO 25002KT //// ///////// 22/20 Q1018="
"83231599999","2023-01-04T12:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","999,9,V,0010,1","00244,1,C,N","009999,1,9,9","+0230,1","+0210,1","99999,9",,,"07,1,+00244,1,99,9","08,1,+00579,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00244,1,99,9,99,9","10180,1,99999,9",,"MET063METAR SBLE 041200Z AUTO VRB02KT 9999 BKN008 OVC019 23/21 Q1018="
"83231599999","2023-01-04T13:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","250,1,V,0015,1","00335,1,C,N","009999,1,9,9","+0240,1","+0220,1","99999,9",,,"07,1,+00335,1,99,9","07,1,+00518,1,99,9","08,1,+01036,1,99,9","9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00335,1,99,9,99,9","10180,1,99999,9",,"MET078METAR SBLE 041300Z AUTO 25003KT 180V300 9999 BKN011 BKN017 OVC034 24/22 Q1018="
