"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","GA1","GA2","GA3","GE1","GF1","KA1","MW1","REM","EQD"
"67979099999","2023-02-04T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","180,1,N,0015,1","02400,1,C,N","030000,1,9,9","+0270,1","+0208,1","99999,9",,"6,1,02,1","2,1,02,1","06,1,+02400,1,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,02400,1,99,9,99,9",,"02,1","SYN07067979 41980 61803 10270 20208 3//// 48/// 70262 86031 333 5//// 86358=",
"67979099999","2023-02-06T15:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","120,1,N,0010,1","22000,1,9,N","030000,1,9,9","+0282,1","+0175,1","99999,9",,,,"04,1,+02400,1,03,1",,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,02400,1,99,9,99,9",,,"SYN06467979 42980 41202 10282 20175 38/// 48/// 84030 333 5//// 84358=",
"67979099999","2023-02-07T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","210,1,N,0010,1","01020,1,C,N","030000,1,9,9","+0274,1","+0195,1","99999,9",,,,"05,1,+01020,1,06,1",,,"9,AGL   ,+99999,+99999","05,99,1,05,1,99,9,01020,1,99,9,99,9",,,"SYN06467979 42680 52102 10274 20195 3//// 48/// 85500 333 5//// 85634=",
"67979099999","2023-02-07T15:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","130,1,N,0010,1","02400,1,C,N","030000,1,9,9","+0301,1","+0172,1","99999,9",,,,"05,1,+02400,1,03,1",,,"9,AGL   ,+99999,+99999","05,99,1,05,1,99,9,02400,1,99,9,99,9",,,"SYN06467979 42980 51302 10301 20172 38/// 48/// 85030 333 5//// 85358=",
"67979099999","2023-02-09T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","120,1,N,0021,1","02400,1,C,N","030000,1,9,9","+0300,1","+0200,1","99999,9",,,,"03,1,+01080,1,08,1","05,1,+02400,1,03,1",,"9,AGL   ,+99999,+99999","05,99,1,03,1,99,9,01080,1,99,9,99,9",,,"SYN07067979 42680 51204 10300 20200 3//// 48/// 83130 333 5//// 83836 85358=",
"67979099999","2023-02-09T15:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","210,1,N,0015,1","02400,1,C,N","030000,1,9,9","+0273,1","+0190,1","99999,9",,,,"05,1,+02400,1,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","05,99,1,05,1,99,9,02400,1,99,9,99,9",,,"SYN06467979 42980 52103 10273 20190 3//// 48/// 85031 333 5//// 85358=",
"67979099999","2023-02-10T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","060,1,N,0010,1","02400,1,C,N","030000,1,9,9","+0284,1","+0190,1","99999,9",,,,"02,1,+00960,1,08,1","05,1,+02400,1,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","05,99,1,02,1,99,9,00960,1,99,9,99,9",,,"SYN07067979 42680 50602 10284 20190 3//// 48/// 82131 333 5//// 82832 85358=",
"67979099999","2023-02-13T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","120,1,N,0015,1","00810,1,C,N","030000,1,9,9","+0268,1","+0209,1","99999,9",,,,"07,1,+00810,1,06,1",,,"9,AGL   ,+99999,+99999","07,99,1,07,1,99,9,00810,1,99,9,99,9",,,"SYN06467979 42580 71203 10268 20209 38/// 48/// 875// 333 5//// 87627=",
"67979099999","2023-02-15T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","070,1,N,0015,1","00780,1,C,N","030000,1,9,9","+0278,1","+0211,1","99999,9",,,,"05,1,+00780,1,06,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","05,99,1,05,1,99,9,00780,1,99,9,99,9",,,"SYN06467979 42580 50703 10278 20211 3//// 48/// 85501 333 5//// 85626=",
"67979099999","2023-02-16T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","080,1,N,0015,1","22000,1,9,N","030000,1,9,9","+0291,1","+0213,1","99999,9",,,,"04,1,+01080,1,06,1",,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,01080,1,99,9,99,9",,,"SYN06467979 42680 40803 10291 20213 3//// 48/// 84500 333 5//// 84636=",
"67979099999","2023-02-22T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","120,1,N,0021,1","00450,1,C,N","020000,1,9,9","+0234,1","+0200,1","99999,9",,"5,1,02,1","2,1,02,1","08,1,+00450,1,06,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00450,1,99,9,99,9",,"02,1","SYN07067979 41470 81204 10234 20200 3//// 48/// 70252 885// 333 5//// 88615=",
"67979099999","2023-03-07T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","150,1,N,0021,1","00720,1,C,N","030000,1,9,9","+0259,1","+0200,1","99999,9",,,,"05,1,+00720,1,06,1",,,"9,AGL   ,+99999,+99999","05,99,1,05,1,99,9,00720,1,99,9,99,9",,,"SYN06467979 42580 51504 10259 20200 3//// 48/// 85500 333 5//// 85624=",
