"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","REM"
"71839099999","2023-01-02T12:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","-0049,1","+9999,9","99999,9","06,9999,1,9","24,9999,1,9","SYN04071839 46/// ///// 11049 6///1 333 7////="
"71839099999","2023-01-02T13:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","-0039,1","+9999,9","99999,9",,,"SYN004BUFR"
"71839099999","2023-01-02T14:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","-0078,1","+9999,9","99999,9",,,"SYN004BUFR"
"71839099999","2023-01-02T15:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","-0048,1","+9999,9","99999,9","03,9999,9,9",,"SYN03471839 46/// ///// 11048 333 6///7="
"71839099999","2023-01-02T16:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","-0080,1","+9999,9","99999,9",,,"SYN004BUFR"
"71839099999","2023-01-02T17:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","-0057,1","+9999,9","99999,9",,,"SYN004BUFR"
"71839099999","2023-01-02T18:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","-0018,1","+9999,9","99999,9","06,9999,1,9","24,9999,1,9","SYN04071839 46/// ///// 11018 6///1 333 7////="
"71839099999","2023-01-02T19:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","-0001,1","+9999,9","99999,9",,,"SYN004BUFR"
"71839099999","2023-01-02T20:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+0025,1","+9999,9","99999,9",,,"SYN004BUFR"
"71839099999","2023-01-02T21:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0027,1","+9999,9","99999,9","03,9999,9,9",,"SYN03471839 46/// ///// 10027 333 6///7="
