"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AY1","AY2","GF1","MW1","REM","EQD"
"94521099999","2023-02-05T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","070,1,N,0051,1","99999,9,9,N","050000,1,9,9","+0285,1","+0202,1","99999,9","24,0000,9,1",,"1,1,02,1","1,1,02,1","07,99,1,99,9,99,9,99999,9,99,9,99,9","03,1","SYN05294521 01/84 70710 10285 20202 60004 70311 333 70000=",
"94521099999","2023-02-06T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","070,1,N,0077,1","99999,9,9,N","050000,1,9,9","+0285,1","+0146,1","99999,9","24,0000,9,1",,"1,1,02,1","1,1,02,1","07,99,1,99,9,99,9,99999,9,99,9,99,9","03,1","SYN05294521 01/84 70715 10285 20146 60004 70311 333 70000=",
"94521099999","2023-02-07T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","360,1,N,0051,1","99999,9,9,N","050000,1,9,9","+0270,1","+0147,1","99999,9","24,0000,9,1",,"1,1,02,1","1,1,02,1","07,99,1,99,9,99,9,99999,9,99,9,99,9","03,1","SYN05294521 01/84 73610 10270 20147 60004 70311 333 70000=",
"94521099999","2023-02-08T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","090,1,N,0062,1","99999,9,9,N","050000,1,9,9","+0250,1","+0161,1","99999,9","24,0000,9,1",,"1,1,02,1","1,1,02,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","03,1","SYN05294521 01/84 80912 10250 20161 60004 70311 333 70000=",
"94521099999","2023-02-09T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","070,1,N,0021,1","99999,9,9,N","050000,1,9,9","+0255,1","+0157,1","99999,9","24,0000,9,1",,"1,1,02,1","1,1,02,1",,"02,1","SYN05294521 01984 00704 10255 20157 60004 70211 333 70000=",
"94521099999","2023-02-10T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","340,1,N,0021,1","99999,9,9,N","050000,1,9,9","+0286,1","+0132,1","99999,9","24,0000,9,1",,"0,1,02,1","0,1,02,1",,"02,1","SYN05294521 01984 03404 10286 20132 60004 70200 333 70000=",
"94521099999","2023-02-11T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","340,1,N,0021,1","99999,9,9,N","050000,1,9,9","+0322,1","+0103,1","99999,9","24,0000,9,1",,"0,1,02,1","0,1,02,1",,"02,1","SYN05294521 01984 03404 10322 20103 60004 70200 333 70000=",
"94521099999","2023-02-12T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","050000,1,9,9","+0278,1","+0091,1","99999,9","24,0000,9,1",,"0,1,02,1","0,1,02,1",,"02,1","SYN05294521 01984 02302 10278 20091 60004 70200 333 70000=",
"94521099999","2023-02-13T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","070,1,N,0021,1","22000,1,9,N","025000,1,9,9","+0269,1","+0190,1","99999,9","24,0000,9,1",,"0,1,02,1","0,1,02,1","01,99,1,99,9,99,9,99999,9,99,9,99,9","03,1","SYN05294521 01/75 10704 10269 20190 60004 70300 333 70000=",
"94521099999","2023-02-14T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","070,1,N,0041,1","99999,9,9,N","050000,1,9,9","+0260,1","+0154,1","99999,9","24,0000,9,1",,"0,1,02,1","0,1,02,1",,"02,1","SYN05294521 01984 00708 10260 20154 60004 70200 333 70000=",
