"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"12960099999","2023-01-02T04:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","130,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0034,1","+0031,1","10271,1",,,,,"99999,9,10130,1","7,1,007,1,+999,9",,,"SYN06412960 46/// /1301 10034 20031 30130 40271 57007 555 10098 /7598=",
"12960099999","2023-01-02T05:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","160,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0046,1","+0045,1","10270,1",,,,,"99999,9,10129,1","6,1,007,1,+999,9",,,"SYN05812960 46/// /1601 10046 20045 30129 40270 56007 555 10099=",
"12960099999","2023-01-02T06:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","150,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0034,1","+0031,1","10272,1",,,"240,N,+0032,1",,"99999,9,10131,1","5,1,001,1,+999,9",,,"SYN06812960 36/// /1501 10034 20031 30131 40272 55001 333 20032 555 10098=",
"12960099999","2023-01-02T07:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0040,1","+0037,1","10273,1",,,,,"99999,9,10132,1","3,1,002,1,+999,9",,,"SYN05812960 46/// /1401 10040 20037 30132 40273 53002 555 10098=",
"12960099999","2023-01-02T08:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","170,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0060,1","+0056,1","10274,1",,,,,"99999,9,10134,1","2,1,005,1,+999,9",,,"SYN05812960 46/// /1701 10060 20056 30134 40274 52005 555 10097=",
"12960099999","2023-01-02T09:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","170,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0084,1","+0064,1","10273,1",,,,,"99999,9,10134,1","2,1,003,1,+999,9",,,"SYN05812960 46/// /1701 10084 20064 30134 40273 52003 555 10087=",
"12960099999","2023-01-02T10:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","120,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0101,1","+0073,1","10271,1",,,,,"99999,9,10133,1","9,9,001,1,+999,9",,,"SYN05812960 46/// /1201 10101 20073 30133 40271 50001 555 10083=",
"12960099999","2023-01-02T11:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","140,1,N,0020,1","99999,9,9,N","999999,9,9,9","+0123,1","+0084,1","10264,1",,,,,"99999,9,10127,1","8,1,007,1,+999,9",,,"SYN06412960 46/// /1402 10123 20084 30127 40264 58007 555 10077 /7595=",
"12960099999","2023-01-02T12:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","120,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0139,1","+0093,1","10255,1",,,,,"99999,9,10119,1","8,1,015,1,+999,9",,,"SYN05812960 36/// /1201 10139 20093 30119 40255 58015 555 10074=",
"12960099999","2023-01-02T13:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","170,1,N,0020,1","99999,9,9,N","999999,9,9,9","+0152,1","+0089,1","10247,1",,,,,"99999,9,10112,1","7,1,021,1,+999,9",,,"SYN05812960 46/// /1702 10152 20089 30112 40247 57021 555 10066=",
