"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AJ1","AL1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GE1","GF1","IA1","IA2","KA1","MA1","MD1","MW1","OC1","OD1","REM","EQD"
"17070099999","2023-01-02T17:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0028,1","-0013,1","10329,1",,,,,,,,,,,,,,,,,"99999,9,09421,1","2,1,008,1,+999,9",,,,"SYN04817070 42965 00000 10028 21013 39421 40329 52008=",
"17070099999","2023-01-02T18:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0014,1","-0020,1","10332,1","12,0000,9,1",,,,,,,,,,,,,,,,"99999,9,09421,1","1,1,005,1,+999,9",,,,"SYN06417070 12965 00000 10014 21020 39421 40332 51005 60002 333 10118=",
"17070099999","2023-01-02T21:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","-0005,1","-0027,1","10320,1",,,,,,,,,,,,,,,,,"99999,9,09419,1","6,1,002,1,+999,9",,,,"SYN04817070 42965 00000 11005 21027 39419 40320 56002=",
"17070099999","2023-01-03T00:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","-0021,1","-0038,1","10307,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,09416,1","8,1,003,1,+999,9",,,,"SYN05417070 12965 00000 11021 21038 39416 40307 58003 60001=",
"17070099999","2023-01-03T03:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","-0033,1","-0050,1","10306,1",,,,,,,,,,,,,,,,,"99999,9,09408,1","7,1,008,1,+999,9",,,,"SYN04817070 42965 00000 11033 21050 39408 40306 57008=",
"17070099999","2023-01-03T06:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","-0038,1","-0058,1","10321,1","12,0000,9,1",,,,,,,,,,,,,,,"240,N,-0042,1","99999,9,09411,1","3,1,003,1,+999,9",,,,"SYN08217070 12965 00000 11038 21058 39411 40321 53003 60002 333 21042 34109 55062 20842=",
"17070099999","2023-01-03T07:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","-0026,1","-0052,1","10321,1",,,,,,,,,,,,,,,,,"99999,9,09412,1","2,1,004,1,+999,9",,,,"SYN04817070 42965 00000 11026 21052 39412 40321 52004=",
"17070099999","2023-01-03T08:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0023,1","-0033,1","10309,1",,,,,,,,,,,,,,,,,"99999,9,09409,1","9,9,000,1,+999,9",,,,"SYN04817070 42965 00000 10023 21033 39409 40309 50000=",
"17070099999","2023-01-03T09:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0042,1","-0045,1","10302,1",,,,,,,,,,,,,,,,,"99999,9,09404,1","8,1,007,1,+999,9",,,"3,99,0010,1,999","SYN05817070 42965 00000 10042 21045 39404 40302 58007 333 91102=",
"17070099999","2023-01-03T10:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0090,1","-0046,1","10286,1",,,,,,,,,,,,,,,,,"99999,9,09395,1","7,1,017,1,+999,9",,,,"SYN04817070 42965 00000 10090 21046 39395 40286 57017=",
"17070099999","2023-01-03T11:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","120,1,N,0005,1","99999,9,9,N","015000,1,9,9","+0094,1","-0058,1","10273,1",,,,,,,,,,,,,,,,,"99999,9,09385,1","7,1,024,1,+999,9",,,,"SYN04817070 42965 01201 10094 21058 39385 40273 57024=",
"17070099999","2023-01-03T12:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0112,1","-0046,1","10263,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,09377,1","7,1,027,1,+999,9",,,"3,99,0010,1,999","SYN06417070 12965 00000 10112 21046 39377 40263 57027 60001 333 91102=",
"17070099999","2023-01-03T13:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0111,1","-0051,1","10259,1",,,,,,,,,,,,,,,,,"99999,9,09373,1","7,1,022,1,+999,9",,,,"SYN04817070 42965 00000 10111 21051 39373 40259 57022=",
"17070099999","2023-01-03T14:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0105,1","-0052,1","10260,1",,,,,,,,,,,,,,,,,"99999,9,09372,1","7,1,013,1,+999,9",,,,"SYN04817070 42965 00000 10105 21052 39372 40260 57013=",
"17070099999","2023-01-03T15:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0074,1","-0047,1","10266,1",,,,,,,,,,,,,,,,,"99999,9,09372,1","6,1,005,1,+999,9",,,,"SYN04817070 42965 00000 10074 21047 39372 40266 56005=",
