"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GE1","GF1","MA1","MW1","REM"
"40712799999","2023-05-14T03:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","006000,1,9,9","+0210,1","+0100,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10080,1,99999,9",,"MET054METAR OIAD 140300Z 00000KT 6000 NSC 21/10 Q1008 A2979="
"40712799999","2023-05-15T01:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","050,1,N,0031,1","99999,9,9,Y","009900,5,9,9","+0180,1","+0110,1","99999,9",,,,,,"10080,1,99999,9",,"MET051METAR OIAD 150100Z 05006KT CAVOK 18/11 Q1008 A2977="
"40712799999","2023-05-15T02:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","007000,1,9,9","+0170,1","+0110,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10070,1,99999,9",,"MET054METAR OIAD 150200Z 00000KT 7000 NSC 17/11 Q1007 A2975="
"40712799999","2023-05-20T22:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","090,1,N,0082,1","01219,1,C,N","006000,1,9,9","+0270,1","+0140,1","99999,9","02,1,+01067,1,09,1","04,1,+01219,1,99,9","08,1,+02743,1,99,9","9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10060,1,99999,9",,"MET073METAR OIAD 202200Z 09016KT 6000 FEW035CB SCT040 OVC090 27/14 Q1006 A2971="
"40712799999","2023-05-22T15:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","130,1,N,0021,1","22000,1,9,N","006000,1,9,9","+0370,1","+0110,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10090,1,99999,9",,"MET054METAR OIAD 221500Z 13004KT 6000 NSC 37/11 Q1009 A2980="
"40712799999","2023-05-23T02:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","007000,1,9,9","+0210,1","+0110,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10110,1,99999,9",,"MET054METAR OIAD 230200Z 00000KT 7000 NSC 21/11 Q1011 A2987="
"40712799999","2023-05-29T17:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","250,1,N,0051,1","22000,1,9,N","007000,1,9,9","+0370,1","+0070,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10070,1,99999,9",,"MET054METAR OIAD 291700Z 25010KT 7000 NSC 37/07 Q1007 A2974="
"40712799999","2023-05-30T02:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","007000,1,9,9","+0250,1","+0140,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10080,1,99999,9",,"MET054METAR OIAD 300200Z 00000KT 7000 NSC 25/14 Q1008 A2979="
"40712799999","2023-06-05T16:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","250,1,N,0051,1","22000,1,9,N","005000,1,9,9","+0400,1","+0010,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10030,1,99999,9","05,1","MET057METAR OIAD 051600Z 25010KT 5000 HZ NSC 40/01 Q1003 A2964="
"40712799999","2023-07-15T13:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","270,1,N,0031,1","22000,1,9,N","006000,1,9,9","+0480,1","+0070,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","09980,1,99999,9",,"MET054METAR OIAD 151300Z 27006KT 6000 NSC 48/07 Q0998 A2949="
"40712799999","2023-07-23T01:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","006000,1,9,9","+0280,1","+0070,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","09980,1,99999,9",,"MET054METAR OIAD 230100Z 00000KT 6000 NSC 28/07 Q0998 A2948="
"40712799999","2023-07-30T01:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","007000,1,9,9","+0290,1","+0080,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","09970,1,99999,9",,"MET054METAR OIAD 300100Z 00000KT 7000 NSC 29/08 Q0997 A2945="
"40712799999","2023-10-14T14:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","340,1,N,0021,1","99999,9,9,Y","009900,5,9,9","+0360,1","+0080,1","99999,9",,,,,,"10110,1,99999,9",,"MET058METAR OIAD 141400Z 34004KT CAVOK 36/08 Q1011 A2988 FEW100="
"40712799999","2023-10-14T16:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","009900,5,9,9","+0310,1","+0090,1","99999,9",,,,,,"10110,1,99999,9",,"MET051METAR OIAD 141600Z 00000KT CAVOK 31/09 Q1011 A2989="
"40712799999","2023-11-06T15:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","009900,5,9,9","+0260,1","+0110,1","99999,9",,,,,,"10140,1,99999,9",,"MET051METAR OIAD 061500Z 00000KT CAVOK 26/11 Q1014 A2996="
"40712799999","2023-11-13T14:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","006000,1,9,9","+0270,1","+0100,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10170,1,99999,9",,"MET068METAR OIAD 131400Z 00000KT 6000 NSC 27/10 Q1017 A3005 FEW100 BKN170="
