"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","ME1","REM","EQD"
"43272099999","2023-04-11T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0240,1","+0192,1","99999,9",,,,,,,,"240,M,+0335,1","240,N,+0167,1","99999,9,09191,1","9,9,999,9,-004,1","3,1535,9","SYN07443272 32997 01401 10240 20192 39191 48535 333 10335 20167 59004 555 10114=",
"43272099999","2023-04-13T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0270,1","+0133,1","99999,9",,,,,,,,"240,M,+0351,1","240,N,+0156,1","99999,9,09185,1","9,9,999,9,-006,1","3,1536,9","SYN06443272 32997 01401 10270 20133 39185 48536 333 10351 20156 59006=",
"43272099999","2023-04-17T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","230,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0270,1","+0161,1","99999,9",,,,,,,,"240,M,+0358,1","240,N,+0145,1","99999,9,09166,1","9,9,999,9,-019,1","3,1518,9","SYN07443272 32997 02301 10270 20161 39166 48518 333 10358 20145 59019 555 10114=",
"43272099999","2023-04-25T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0260,1","+0204,1","99999,9",,,,,,,,"240,M,+0351,1","240,N,+0217,1","99999,9,09163,1","9,9,999,9,+009,1","3,1513,9","SYN07443272 32997 01402 10260 20204 39163 48513 333 10351 20217 58009 555 10114=",
"43272099999","2023-04-26T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0248,1","+0210,1","99999,9",,,"02,1,+00800,1,06,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","05,99,1,02,1,99,9,00800,1,99,9,99,9","240,M,+0337,1","240,N,+0203,1","99999,9,09168,1","9,9,999,9,+005,1","3,1516,9","SYN08043272 32596 51401 10248 20210 39168 48516 82532 333 10337 20203 58005 555 10114=",
"43272099999","2023-04-27T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0260,1","+0188,1","99999,9",,,,,,,,"240,M,+0337,1","240,N,+0210,1","99999,9,09163,1","9,9,999,9,-005,1","3,1513,9","SYN07443272 32997 01401 10260 20188 39163 48513 333 10337 20210 59005 555 10114=",
"43272099999","2023-04-28T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0258,1","+0168,1","99999,9",,,,,,,,"240,M,+0341,1","240,N,+0200,1","99999,9,09174,1","9,9,999,9,+011,1","3,1524,9","SYN07443272 32997 01402 10258 20168 39174 48524 333 10341 20200 58011 555 10114=",
"43272099999","2023-04-29T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0268,1","+0200,1","99999,9",,,,,,,,"240,M,+0341,1","240,N,+0209,1","99999,9,09163,1","9,9,999,9,-011,1","3,1515,9","SYN07443272 32997 01401 10268 20200 39163 48515 333 10341 20209 59011 555 10114=",
"43272099999","2023-04-30T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0270,1","+0196,1","99999,9",,,,,,,,"240,M,+0343,1","240,N,+0213,1","99999,9,09161,1","9,9,999,9,-002,1","3,1513,9","SYN07443272 32997 01401 10270 20196 39161 48513 333 10343 20213 59002 555 10114=",
"43272099999","2023-05-01T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","002000,1,9,9","+0264,1","+0192,1","99999,9","24,0060,3,1",,"03,1,+00800,1,07,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","07,99,1,03,1,99,9,00800,1,99,9,99,9","240,M,+0351,1","240,N,+0203,1","99999,9,09164,1",,"3,1516,9","SYN09843272 22595 71401 10264 20192 39164 48516 83742 333 10351 20203 56299 58003 6006/ 555 00055 10120=",
"43272099999","2023-05-02T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0015,1","99999,9,9,N","010000,1,9,9","+0236,1","+0218,1","99999,9","24,0070,3,1",,,,,,,"240,M,+0339,1","240,N,+0199,1","99999,9,09162,1","9,9,999,9,-002,1","3,1508,9","SYN08643272 22997 01403 10236 20218 39162 48508 333 10339 20199 59002 6007/ 555 00068 10127=",
"43272099999","2023-05-13T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","230,1,N,0015,1","99999,9,9,N","002000,1,9,9","+0250,1","+0218,1","99999,9",,,"03,1,+00800,1,07,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","07,99,1,03,1,99,9,00800,1,99,9,99,9","240,M,+0341,1","240,N,+0229,1","99999,9,09156,1",,"3,1505,9","SYN08643272 32595 72303 10250 20218 39156 48505 83632 333 10341 20229 56299 59002 555 10160=",
"43272099999","2023-05-14T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0224,1","+0212,1","99999,9",,,,,,,,"240,M,+0341,1","240,N,+0217,1","99999,9,09156,1","9,9,999,9,+000,1","3,1501,9","SYN07443272 32997 02302 10224 20212 39156 48501 333 10341 20217 58000 555 10160=",
"43272099999","2023-05-15T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","230,1,N,0026,1","99999,9,9,N","010000,1,9,9","+0268,1","+0213,1","99999,9",,,,,,,,"240,M,+0347,1","240,N,+0219,1","99999,9,09164,1","9,9,999,9,+008,1","3,1516,9","SYN07443272 32997 02305 10268 20213 39164 48516 333 10347 20219 58008 555 10160=",
"43272099999","2023-05-17T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","320,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0292,1","+0201,1","99999,9",,,,,,,,"240,M,+0358,1","240,N,+0208,1","99999,9,09171,1","9,9,999,9,+007,1","3,1530,9","SYN07443272 32997 03201 10292 20201 39171 48530 333 10358 20208 58007 555 10160=",
"43272099999","2023-05-18T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","320,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0300,1","+0213,1","99999,9",,,,,,,,"240,M,+0366,1","240,N,+0221,1","99999,9,09181,1","9,9,999,9,+010,1","3,1539,9","SYN07443272 32997 03201 10300 20213 39181 48539 333 10366 20221 58010 555 10160=",
"43272099999","2023-05-19T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","230,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0286,1","+0220,1","99999,9",,,,,,,,"240,M,+0361,1","240,N,+0231,1","99999,9,09171,1","9,9,999,9,-010,1","3,1518,9","SYN07443272 32997 02301 10286 20220 39171 48518 333 10361 20231 59010 555 10160=",
"43272099999","2023-05-20T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0258,1","+0208,1","99999,9",,,,,,,,"240,M,+0366,1","240,N,+0234,1","99999,9,09161,1","9,9,999,9,-010,1","3,1511,9","SYN07443272 32997 02302 10258 20208 39161 48511 333 10366 20234 59010 555 10160=",
"43272099999","2023-05-23T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0256,1","+0205,1","99999,9",,,,,,,,"240,M,+0361,1","240,N,+0197,1","99999,9,09186,1","9,9,999,9,+017,1","3,1535,9","SYN07443272 32997 03200 10256 20205 39186 48535 333 10361 20197 58017 555 10183=",
"43272099999","2023-05-25T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","230,1,N,0015,1","99999,9,9,N","002000,1,9,9","+0252,1","+0208,1","99999,9","24,0080,3,1",,"03,1,+00800,1,07,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","07,99,1,03,1,99,9,00800,1,99,9,99,9","240,M,+0343,1","240,N,+0194,1","99999,9,09176,1",,"3,1526,9","SYN09843272 32595 72303 10252 20208 39176 48526 83742 333 10343 20194 56299 59004 6008/ 555 00080 10191=",
"43272099999","2023-05-26T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","230,1,N,0015,1","99999,9,9,N","010000,1,9,9","+0256,1","+0190,1","99999,9",,,,,,,,"240,M,+0326,1","240,N,+0218,1","99999,9,09186,1","9,9,999,9,+010,1","3,1535,9","SYN06443272 32997 02303 10256 20190 39186 48535 333 10326 20218 58010=",
