"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"01009099999","2023-04-23T20:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","023,1,N,0046,1","99999,9,9,9","999999,9,9,9","-0079,1","-0092,1","10172,1",,,"99999,9,10165,1","2,1,008,1,+999,9","0074,1","9,99,0056,1,999","SYN004BUFR",
"01009099999","2023-04-25T20:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","018,1,N,0041,1","99999,9,9,9","999999,9,9,9","-0124,1","-0142,1","10289,1",,,"99999,9,10282,1","2,1,007,1,+999,9",,"9,99,0041,1,999","SYN004BUFR",
"01009099999","2023-04-27T23:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","260,1,N,0008,1","99999,9,9,9","999999,9,9,9","-0095,1","-0106,1","10262,1",,,"99999,9,10255,1","7,1,005,1,+999,9",,"9,99,0016,1,999","SYN004BUFR",
"01009099999","2023-04-28T20:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","351,1,N,0046,1","99999,9,9,9","999999,9,9,9","-0159,1","-0180,1","10261,1",,,"99999,9,10253,1","3,1,019,1,+999,9","0062,1","9,99,0053,1,999","SYN004BUFR",
"01009099999","2023-05-01T00:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","313,1,N,0023,1","99999,9,9,9","999999,9,9,9","-0254,1","-0278,1","10282,1",,,"99999,9,10274,1","7,1,003,1,+999,9",,"3,99,9999,9,999","SYN004BUFR",
"01009099999","2023-05-04T21:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","100,1,N,0010,1","99999,9,9,9","999999,9,9,9","-0122,1","-0135,1","10199,1",,,"99999,9,10192,1",,,"3,99,9999,9,999","SYN004BUFR","Q014     3APCTENQ02.1    3APC3  "
"01009099999","2023-05-05T00:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","126,1,N,0020,1","99999,9,9,9","999999,9,9,9","-0122,1","-0137,1","10195,1",,,"99999,9,10188,1","7,1,004,1,+999,9",,"3,99,9999,9,999","SYN004BUFR",
"01009099999","2023-05-16T20:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","098,1,N,0042,1","99999,9,9,9","999999,9,9,9","-0092,1","-0110,1","10024,1",,,"99999,9,10017,1","7,1,005,1,+999,9","0051,1","9,99,0043,1,999","SYN004BUFR",
"01009099999","2023-05-17T00:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","092,1,N,0030,1","99999,9,9,9","999999,9,9,9","-0087,1","-0101,1","10013,1",,,"99999,9,10006,1","7,1,007,1,+999,9",,"3,99,9999,9,999","SYN004BUFR",
"01009099999","2023-05-19T20:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","214,1,N,0033,1","99999,9,9,9","999999,9,9,9","-0035,1","-0064,1","10085,1",,,"99999,9,10078,1",,,"9,99,0033,1,999","SYN004BUFR","Q014     3APCTENQ02.1    3APC3  "
"01009099999","2023-05-20T00:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","192,1,N,0026,1","99999,9,9,9","999999,9,9,9","-0035,1","-0059,1","10076,1",,,"99999,9,10070,1","7,1,006,1,+999,9",,"3,99,9999,9,999","SYN004BUFR",
"01009099999","2023-05-23T21:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","183,1,N,0092,1","99999,9,9,9","999999,9,9,9","+0027,1","-0004,1","09904,1",,,"99999,9,09898,1","8,1,033,1,+999,9","0103,1","3,99,9999,9,999","SYN004BUFR",
"01009099999","2023-05-25T05:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","028,1,N,0077,1","99999,9,9,9","999999,9,9,9","-0010,1","-0018,1","09899,1","120,M,-0007,1","120,N,-0011,1","99999,9,09893,1","6,1,040,1,+999,9","0092,1","9,99,0079,1,999","SYN004BUFR",
"01009099999","2023-06-23T05:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","999,9,N,0002,1","99999,9,9,9","999999,9,9,9","+0010,1","+0004,1","10079,1","120,M,+0014,1","120,N,+0009,1","99999,9,10072,1","5,1,002,1,+999,9",,"9,99,0011,1,999","SYN004BUFR",
"01009099999","2023-08-30T06:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"99999,9,10050,1",,,"3,99,9999,9,999","SYN004BUFR",
"01009099999","2023-08-30T16:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+0045,1","+0035,1","10036,1","120,M,+0045,1","120,N,+0044,1","99999,9,10030,1",,,"9,99,0000,1,999","SYN004BUFR",
"01009099999","2023-08-31T00:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","249,1,N,0019,1","99999,9,9,9","999999,9,9,9","+0041,1","+0038,1","10022,1","120,M,+0042,1","120,N,+0039,1","99999,9,10016,1",,,"9,99,0028,1,999","SYN004BUFR","Q014     3APCTENQ02.2    3APC3  "
"01009099999","2023-08-31T01:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","302,1,N,0022,1","99999,9,9,9","999999,9,9,9","+0037,1","+0035,1","10022,1","120,M,+0041,1","120,N,+0038,1","99999,9,10015,1",,,"9,99,0023,1,999","SYN004BUFR","Q014     3APCTENQ02.2    3APC3  "
"01009099999","2023-08-31T02:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","321,1,N,0023,1","99999,9,9,9","999999,9,9,9","+0040,1","+0036,1","10020,1","120,M,+0039,1","120,N,+0038,1","99999,9,10014,1",,,"9,99,0025,1,999","SYN004BUFR","Q014     3APCTENQ02.3    3APC3  "
"01009099999","2023-08-31T03:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","311,1,N,0025,1","99999,9,9,9","999999,9,9,9","+0037,1","+0035,1","10021,1","120,M,+0039,1","120,N,+0037,1","99999,9,10014,1","7,9,001,9,+999,9",,"9,99,0025,1,999","SYN004BUFR","Q01.1    3APC3  Q024     3APCTEN"
"01009099999","2023-08-31T04:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","304,1,N,0032,1","99999,9,9,9","999999,9,9,9","+0036,1","+0033,1","10023,1","120,M,+0037,1","120,N,+0036,1","99999,9,10016,1","0,1,001,1,+999,9",,"9,99,0032,1,999","SYN004BUFR",
"01009099999","2023-08-31T05:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","311,1,N,0050,1","99999,9,9,9","999999,9,9,9","+0030,1","+0027,1","10026,1","120,M,+0036,1","120,N,+0030,1","99999,9,10020,1","1,1,006,1,+999,9","0056,1","9,99,0053,1,999","SYN004BUFR",
"01009099999","2023-08-31T06:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","314,1,N,0046,1","99999,9,9,9","999999,9,9,9","+0030,1","+0025,1","10029,1","120,M,+0045,1","120,N,+0028,1","99999,9,10022,1","2,1,008,1,+999,9","0057,1","9,99,0053,1,999","SYN004BUFR",
"01009099999","2023-08-31T07:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","309,1,N,0058,1","99999,9,9,9","999999,9,9,9","+0027,1","+0020,1","10035,1","120,M,+0029,1","120,N,+0026,1","99999,9,10028,1","2,1,012,1,+999,9","0071,1","9,99,0065,1,999","SYN004BUFR",
"01009099999","2023-08-31T08:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","304,1,N,0060,1","99999,9,9,9","999999,9,9,9","+0027,1","+0013,1","10040,1","120,M,+0028,1","120,N,+0026,1","99999,9,10033,1","2,1,014,1,+999,9","0070,1","9,99,0064,1,999","SYN004BUFR",
"01009099999","2023-08-31T09:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","302,1,N,0069,1","99999,9,9,9","999999,9,9,9","+0027,1","+0013,1","10046,1","120,M,+0029,1","120,N,+0027,1","99999,9,10039,1","2,1,017,1,+999,9","0075,1","9,99,0072,1,999","SYN004BUFR",
"01009099999","2023-08-31T10:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","286,1,N,0054,1","99999,9,9,9","999999,9,9,9","+0027,1","+0024,1","10050,1","120,M,+0029,1","120,N,+0027,1","99999,9,10043,1","2,1,015,1,+999,9","0067,1","9,99,0069,1,999","SYN004BUFR",
"01009099999","2023-08-31T14:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","290,1,N,0077,1","99999,9,9,9","999999,9,9,9","+0030,1","+0023,1","10067,1","120,M,+0031,1","120,N,+0029,1","99999,9,10060,1","2,1,016,1,+999,9","0084,1","9,99,0077,1,999","SYN004BUFR",
"01009099999","2023-08-31T15:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","293,1,N,0074,1","99999,9,9,9","999999,9,9,9","+0030,1","+0026,1","10075,1","120,M,+0029,1","120,N,+0028,1","99999,9,10068,1","2,1,018,1,+999,9","0084,1","9,99,0079,1,999","SYN004BUFR",
"01009099999","2023-08-31T16:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","290,1,N,0069,1","99999,9,9,9","999999,9,9,9","+0027,1","+0024,1","10081,1","120,M,+0030,1","120,N,+0028,1","99999,9,10074,1","2,1,019,1,+999,9","0080,1","9,99,0075,1,999","SYN004BUFR",
"01009099999","2023-08-31T17:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","293,1,N,0082,1","99999,9,9,9","999999,9,9,9","+0027,1","+0017,1","10087,1","120,M,+0029,1","120,N,+0027,1","99999,9,10080,1","2,1,020,1,+999,9","0093,1","9,99,0083,1,999","SYN004BUFR",
"01009099999","2023-08-31T18:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","287,1,N,0083,1","99999,9,9,9","999999,9,9,9","+0025,1","+0012,1","10096,1","120,M,+0034,1","120,N,+0025,1","99999,9,10090,1","2,1,022,1,+999,9","0099,1","9,99,0089,1,999","SYN004BUFR",
"01009099999","2023-08-31T19:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","282,1,N,0086,1","99999,9,9,9","999999,9,9,9","+0021,1","+0011,1","10103,1","120,M,+0025,1","120,N,+0021,1","99999,9,10096,1","2,1,022,1,+999,9","0103,1","9,99,0095,1,999","SYN004BUFR",
"01009099999","2023-08-31T20:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","285,1,N,0088,1","99999,9,9,9","999999,9,9,9","+0012,1","+0006,1","10109,1","120,M,+0022,1","120,N,+0012,1","99999,9,10102,1","2,1,022,1,+999,9","0100,1","9,99,0088,1,999","SYN004BUFR",
"01009099999","2023-08-31T21:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","281,1,N,0076,1","99999,9,9,9","999999,9,9,9","+0012,1","+0009,1","10112,1","120,M,+0015,1","120,N,+0011,1","99999,9,10105,1","3,1,016,1,+999,9","0099,1","9,99,0095,1,999","SYN004BUFR",
"01009099999","2023-08-31T22:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","282,1,N,0078,1","99999,9,9,9","999999,9,9,9","+0015,1","+0011,1","10118,1","120,M,+0015,1","120,N,+0010,1","99999,9,10111,1","2,1,016,1,+999,9","0094,1","9,99,0083,1,999","SYN004BUFR",
"01009099999","2023-08-31T23:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","269,1,N,0066,1","99999,9,9,9","999999,9,9,9","+0017,1","+0008,1","10124,1","120,M,+0018,1","120,N,+0012,1","99999,9,10117,1","2,1,015,1,+999,9","0093,1","9,99,0081,1,999","SYN004BUFR",
"01009099999","2023-09-01T00:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","288,1,N,0085,1","99999,9,9,9","999999,9,9,9","+0017,1","+0006,1","10130,1","120,M,+0017,1","120,N,+0014,1","99999,9,10123,1","2,1,018,1,+999,9","0100,1","9,99,0095,1,999","SYN004BUFR",
"01009099999","2023-09-01T01:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","295,1,N,0076,1","99999,9,9,9","999999,9,9,9","+0015,1","+0005,1","10135,1","120,M,+0018,1","120,N,+0013,1","99999,9,10128,1","2,1,017,1,+999,9","0097,1","9,99,0088,1,999","SYN004BUFR",
"01009099999","2023-09-01T02:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","288,1,N,0080,1","99999,9,9,9","999999,9,9,9","+0020,1","+0006,1","10138,1","120,M,+0020,1","120,N,+0014,1","99999,9,10132,1","2,1,014,1,+999,9","0090,1","9,99,0081,1,999","SYN004BUFR",
"01009099999","2023-09-01T03:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","285,1,N,0066,1","99999,9,9,9","999999,9,9,9","+0021,1","+0008,1","10144,1","120,M,+0021,1","120,N,+0018,1","99999,9,10138,1","2,1,015,1,+999,9","0094,1","9,99,0088,1,999","SYN004BUFR",
"01009099999","2023-09-01T04:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","270,1,N,0055,1","99999,9,9,9","999999,9,9,9","+0025,1","+0009,1","10145,1","120,M,+0026,1","120,N,+0020,1","99999,9,10138,1","2,1,010,1,+999,9","0070,1","9,99,0066,1,999","SYN004BUFR",
"01009099999","2023-09-01T05:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","223,1,N,0033,1","99999,9,9,9","999999,9,9,9","+0027,1","+0012,1","10148,1","120,M,+0027,1","120,N,+0023,1","99999,9,10141,1","2,1,010,1,+999,9","0051,1","9,99,0054,1,999","SYN004BUFR",
"01009099999","2023-09-01T06:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","206,1,N,0034,1","99999,9,9,9","999999,9,9,9","+0032,1","+0018,1","10150,1","120,M,+0033,1","120,N,+0010,1","99999,9,10143,1","2,1,006,1,+999,9","0097,1","9,99,0088,1,999","SYN004BUFR",
