"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AJ1","GA1","GA2","GA3","GE1","GF1","MA1","MW1","MW2","MW3","REM","EQD"
"47107499999","2023-01-03T01:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","240,1,N,0010,1","22000,1,9,N","009999,1,9,9","+0020,1","-0200,1","10268,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10264,1,99999,9",,,,"MET058METAR RKNO 0155Z 24002KT 9999 SKC 02/M20 A3031 RMK SLP268=",
"47107499999","2023-01-03T02:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","260,1,N,0041,1","22000,1,9,N","009999,1,9,9","+0040,1","-0190,1","10259,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10254,1,99999,9",,,,"MET058METAR RKNO 0255Z 26008KT 9999 SKC 04/M19 A3028 RMK SLP259=",
"47107499999","2023-01-03T03:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","999,9,N,9999,9","99999,9,9,N","011265,5,9,9","+0040,5","-0190,5","10247,1",,,,,,,,"10244,5,99999,9",,,,"MET062METAR RKNO 0355Z 26010G021KT 9999 SKC 04/M19 A3025 RMK SLP247=","D01      0ADE693D02      0ADE539"
"47107499999","2023-01-03T04:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","999,9,N,9999,9","99999,9,9,N","011265,5,9,9","+0030,5","-0190,5","10240,1",,,,,,,,"10234,5,99999,9",,,,"MET062METAR RKNO 0455Z 26014G027KT 9999 SKC 03/M19 A3022 RMK SLP240=","D01      0ADE693D02      0ADE539"
"47107499999","2023-01-03T05:56:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","260,1,N,0046,1","22000,1,9,N","009999,1,9,9","+0030,1","-0200,1","10239,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10234,1,99999,9",,,,"MET073METAR RKNO 0556Z 26009KT 9999 SKC 03/M20 A3022 RMK PK WND 2726/40 SLP239=",
"47107499999","2023-01-03T06:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","260,1,N,0057,1","22000,1,9,N","009999,1,9,9","+0020,1","-0200,1","10242,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10237,1,99999,9",,,,"MET058METAR RKNO 0655Z 26011KT 9999 SKC 02/M20 A3023 RMK SLP242=",
"47107499999","2023-01-03T07:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","240,1,N,0036,1","22000,1,9,N","009999,1,9,9","+0010,1","-0190,1","10245,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10237,1,99999,9",,,,"MET058METAR RKNO 0755Z 24007KT 9999 SKC 01/M19 A3023 RMK SLP245=",
"47107499999","2023-01-03T08:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","250,1,N,0026,1","22000,1,9,N","009999,1,9,9","+0000,1","-0200,1","10246,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10240,1,99999,9",,,,"MET063METAR RKNO 0855Z 25005KT 9999 SKC 00/M20 A3024 RMK SLP246 LAST=",
"47107499999","2023-01-03T20:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","250,1,N,0031,1","22000,1,9,N","009999,1,9,9","-0030,1","-0210,1","10264,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10257,1,99999,9",,,,"MET065METAR RKNO 2055Z 25006KT 9999 SKC M03/M21 A3029 RMK SLP264 FIRST=",
"47107499999","2023-01-03T21:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","250,1,N,0026,1","22000,1,9,N","009999,1,9,9","-0020,1","-0220,1","10270,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10264,1,99999,9",,,,"MET059METAR RKNO 2155Z 25005KT 9999 SKC M02/M22 A3031 RMK SLP270=",
