"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AW1","AY1","AY2","KA1","KA2","MA1","MD1","MW1","OC1","OD1","REM","EQD"
"02821099999","2023-01-03T02:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","082,1,N,0041,1","99999,9,9,9","000960,1,9,9","-0099,1","-0108,1","10101,1","20,1",,,,,"99999,9,09397,1",,,"0055,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T03:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","112,1,N,0058,1","99999,9,9,9","000240,1,9,9","-0117,1","-0130,1","10108,1","78,1","7,1,99,9","3,1,99,9",,,"99999,9,09398,1","2,1,008,1,+999,9",,"0069,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T04:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","104,1,N,0055,1","99999,9,9,9","000720,1,9,9","-0134,1","-0147,1","10115,1","85,1",,,,,"99999,9,09400,1",,,"0063,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T05:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","084,1,N,0072,1","99999,9,9,9","000420,1,9,9","-0144,1","-0156,1","10121,1","72,1",,,,,"99999,9,09404,1",,,"0090,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T06:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","091,1,N,0076,1","99999,9,9,9","000240,1,9,9","-0137,1","-0151,1","10126,1","72,1","8,1,99,9","7,1,99,9","120,M,-0054,1","120,N,-0149,1","99999,9,09410,1","2,1,011,1,+999,9",,"0099,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T07:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","077,1,N,0089,1","99999,9,9,9","000280,1,9,9","-0130,1","-0141,1","10131,1","73,1",,,,,"99999,9,09416,1",,,"0105,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T08:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","081,1,N,0083,1","99999,9,9,9","000290,1,9,9","-0117,1","-0128,1","10137,1","72,1",,,,,"99999,9,09425,1",,,"0101,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T09:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","078,1,N,0080,1","99999,9,9,9","000260,1,9,9","-0109,1","-0119,1","10141,1","77,1","7,1,99,9","0,1,99,9",,,"99999,9,09432,1","2,1,022,1,+999,9",,"0102,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T10:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","082,1,N,0082,1","99999,9,9,9","000260,1,9,9","-0097,1","-0105,1","10147,1","77,1",,,,,"99999,9,09440,1",,,"0102,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T11:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","071,1,N,0084,1","99999,9,9,9","000200,1,9,9","-0090,1","-0100,1","10153,1","77,1",,,,,"99999,9,09447,1",,,"0099,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T12:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","076,1,N,0077,1","99999,9,9,9","000280,1,9,9","-0089,1","-0097,1","10161,1","71,1","7,1,99,9","0,1,99,9",,,"99999,9,09455,1","2,1,023,1,+999,9",,"0106,1","3,99,9999,9,999","SYN004BUFR",
