"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","REM","EQD"
"03396199999","2023-07-14T18:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0159,1","+0159,1","10012,1","7,1,041,1,+999,9","SYN06603380 14184 99536 10001 46/// /14// 10159 20159 40012 57041 22200=",
"03396199999","2023-07-14T19:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0157,1","+9999,9","09994,1","7,1,044,1,+999,9","SYN06603380 14194 99536 10001 46/// /13// 10157 20158 49994 57044 22200=","Q0115.8  2ATOD  "
"03396199999","2023-07-14T20:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0168,1","+0168,1","09992,1","7,1,032,1,+999,9","SYN06603380 14204 99536 10001 46/// /15// 10168 20168 49992 57032 22200=",
"03396199999","2023-07-14T21:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0166,1","+9999,9","09986,1","6,1,026,1,+999,9","SYN06603380 14214 99536 10001 46/// /15// 10166 20167 49986 56026 22200=","Q0116.7  2ATOD  "
"03396199999","2023-07-14T22:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0168,1","+9999,9","09978,1","7,1,016,1,+999,9","SYN06603380 14224 99536 10001 46/// /16// 10168 20169 49978 57016 22200=",
"03396199999","2023-07-14T23:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0170,1","+0170,1","09977,1","6,1,015,1,+999,9","SYN06603380 14234 99536 10001 46/// /18// 10170 20170 49977 56015 22200=",
"03396199999","2023-07-15T00:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0172,1","+0172,1","09977,1","6,1,009,1,+999,9","SYN06603380 15004 99536 10001 46/// /19// 10172 20172 49977 56009 22200=",
"03396199999","2023-07-15T01:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0167,1","+0167,1","09978,1","5,1,000,1,+999,9","SYN06603380 15014 99536 10001 46/// /21// 10167 20167 49978 55000 22200=",
"03396199999","2023-07-15T02:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0157,1","+0157,1","09977,1","8,1,001,1,+999,9","SYN06603380 15024 99536 10001 46/// /21// 10157 20157 49977 58001 22200=",
"03396199999","2023-07-15T03:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0152,1","+0152,1","09975,1","7,1,001,1,+999,9","SYN06603380 15034 99536 10001 46/// /20// 10152 20152 49975 57001 22200=",
"03396199999","2023-07-15T04:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0149,1","+9999,9","09973,1","8,1,004,1,+999,9","SYN06603380 15044 99536 10001 46/// /19// 10149 20150 49973 58004 22200=",
"03396199999","2023-07-15T05:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0150,1","+0150,1","09972,1","7,1,005,1,+999,9","SYN06603380 15054 99536 10001 46/// /20// 10150 20150 49972 57005 22200=",
"03396199999","2023-07-15T06:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0154,1","+0154,1","09971,1","7,1,004,1,+999,9","SYN06603380 15064 99536 10001 46/// /18// 10154 20154 49971 57004 22200=",
"03396199999","2023-07-15T07:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0162,1","+0162,1","09969,1","7,1,004,1,+999,9","SYN06603380 15074 99536 10001 46/// /19// 10162 20162 49969 57004 22200=",
"03396199999","2023-07-15T08:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0167,1","+0167,1","09967,1","8,1,005,1,+999,9","SYN06603380 15084 99536 10001 46/// /20// 10167 20167 49967 58005 22200=",
