"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM"
"48699099999","2023-01-01T22:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","999,9,V,0005,1","04877,1,9,N","009999,1,9,9","+0250,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+04877,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10110,1,99999,9",,,,"MET058METAR WSSL 012200Z VRB01KT 9999 FEW018 BKN160 25/23 Q1011="
"48699099999","2023-01-01T23:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","350,1,V,0015,1","04877,1,9,N","009999,1,9,9","+0250,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+04877,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10120,1,99999,9",,,,"MET066METAR WSSL 012300Z 35003KT 310V030 9999 FEW018 BKN160 25/23 Q1012="
"48699099999","2023-01-02T00:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","350,1,N,0021,1","04572,1,9,N","009999,1,9,9","+0260,1","+0220,1","99999,9",,"02,1,+00610,1,99,9","07,1,+04572,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10130,1,99999,9",,,,"MET058METAR WSSL 020000Z 35004KT 9999 FEW020 BKN150 26/22 Q1013="
"48699099999","2023-01-02T01:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","360,1,V,0021,1","04572,1,9,N","009999,1,9,9","+0260,1","+0230,1","99999,9",,"02,1,+00671,1,99,9","07,1,+04572,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00671,1,99,9,99,9","10130,1,99999,9",,,,"MET066METAR WSSL 020100Z 36004KT 320V050 9999 FEW022 BKN150 26/23 Q1013="
"48699099999","2023-01-02T02:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","360,1,V,0026,1","04572,1,9,N","009999,1,9,9","+0270,1","+0220,1","99999,9",,"02,1,+00671,1,99,9","07,1,+04572,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00671,1,99,9,99,9","10140,1,99999,9",,,,"MET066METAR WSSL 020200Z 36005KT 320V040 9999 FEW022 BKN150 27/22 Q1014="
"48699099999","2023-01-02T03:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","010,1,V,0041,1","04572,1,9,N","009999,1,9,9","+0280,1","+0220,1","99999,9",,"02,1,+00610,1,99,9","07,1,+04572,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10140,1,99999,9",,,,"MET066METAR WSSL 020300Z 01008KT 330V040 9999 FEW020 BKN150 28/22 Q1014="
"48699099999","2023-01-02T04:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","010,1,V,0041,1","05182,1,C,N","009999,1,9,9","+0300,1","+0230,1","99999,9",,"04,1,+00610,1,99,9","04,1,+05182,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10130,1,99999,9",,,,"MET066METAR WSSL 020400Z 01008KT 320V040 9999 SCT020 SCT170 30/23 Q1013="
"48699099999","2023-01-02T05:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","020,1,V,0046,1","09144,1,9,N","009999,1,9,9","+0300,1","+0230,1","99999,9",,"02,1,+00610,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10120,1,99999,9",,,,"MET066METAR WSSL 020500Z 02009KT 330V050 9999 FEW020 BKN300 30/23 Q1012="
"48699099999","2023-01-02T06:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","030,1,N,0051,1","09144,1,9,N","009999,1,9,9","+0310,1","+0240,1","99999,9",,"04,1,+00610,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10110,1,99999,9",,,,"MET058METAR WSSL 020600Z 03010KT 9999 SCT020 BKN300 31/24 Q1011="
"48699099999","2023-01-02T07:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","020,1,V,0051,1","09144,1,9,N","009999,1,9,9","+0310,1","+0230,1","99999,9",,"04,1,+00549,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00549,1,99,9,99,9","10100,1,99999,9",,,,"MET066METAR WSSL 020700Z 02010KT 340V040 9999 SCT018 BKN300 31/23 Q1010="
