"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AY1","AY2","GA1","GA2","GA3","GA4","GA5","GE1","GF1","IA1","KA1","KA2","MA1","MD1","MW1","OC1","OD1","REM","EQD"
"91925099999","2023-01-01T22:00:00","4","-9.8","-139.0333333","53.0","HIVA OA, FP","FM-12","99999","V020","100,1,N,0077,1","22000,1,9,N","030000,1,9,9","+0278,1","+0216,1","10128,1","01,0000,9,1",,,,"03,1,+00800,1,08,1",,,,,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,00800,1,99,9,99,9",,,,"99999,9,10068,1","8,1,023,1,+999,9",,,,"SYN09891925 22580 31015 10278 20216 30068 40128 58023 83200 333 60005 56200 83821 90710 91124 555 11024=",
"91925099999","2023-01-01T23:00:00","4","-9.8","-139.0333333","53.0","HIVA OA, FP","FM-12","99999","V020","090,1,N,0057,1","99999,9,9,N","030000,1,9,9","+0268,1","+0226,1","10124,1","01,0004,3,1",,"8,1,02,1","6,1,02,1","05,1,+00800,1,08,1",,,,,"9,AGL   ,+99999,+99999","05,99,1,05,1,99,9,00800,1,99,9,99,9",,,,"99999,9,10064,1","6,1,020,1,+999,9","25,1",,,"SYN11091925 21580 50911 10268 20226 30064 40124 56020 72586 85200 333 69945 56200 85821 90710 91129 555 69945 10629=",
"91925099999","2023-01-02T00:00:00","4","-9.8","-139.0333333","53.0","HIVA OA, FP","FM-12","99999","V020","290,1,N,0021,1","00630,1,C,N","030000,1,9,9","+0269,1","+0229,1","10121,1","03,0006,3,1","24,0020,3,1","8,1,02,1","6,1,02,1","05,1,+00630,1,08,1",,,,,"9,AGL   ,+99999,+99999","05,99,1,05,1,99,9,00630,1,99,9,99,9",,"120,N,+0227,1",,"99999,9,10061,1","6,1,018,1,+999,9","25,1",,"3,99,0134,1,999","SYN12891925 01580 52904 10269 20229 30061 40121 56018 60024 72586 85200 333 20227 56200 58002 69967 85821 90710 91126 555 69925 10629=",
"91925099999","2023-01-02T01:00:00","4","-9.8","-139.0333333","53.0","HIVA OA, FP","FM-12","99999","V020","320,1,N,0005,1","99999,9,9,N","030000,1,9,9","+0269,1","+0227,1","10120,1","01,0002,3,1",,"2,1,02,1","2,1,02,1","05,1,+00800,1,08,1",,,,,"9,AGL   ,+99999,+99999","05,99,1,05,1,99,9,00800,1,99,9,99,9",,,,"99999,9,10060,1","6,1,008,1,+999,9","25,1",,,"SYN11091925 21580 53201 10269 20227 30060 40120 56008 72522 85800 333 69925 56200 83821 83650 90710 91117 555 11117=",
"91925099999","2023-01-02T02:00:00","4","-9.8","-139.0333333","53.0","HIVA OA, FP","FM-12","99999","V020","080,1,N,0072,1","99999,9,9,N","007000,1,9,9","+0264,1","+0227,1","10121,1","01,0000,9,1",,,,"99,9,+01250,1,99,9",,,,,"9,AGL   ,+99999,+99999","07,99,1,99,9,99,9,01250,1,99,9,99,9",,,,"99999,9,10061,1","5,1,003,1,+999,9","00,1",,"3,99,0113,1,999","SYN08691925 24657 70814 10264 20227 30061 40121 55003 700// 333 60005 90710 91122 555 10922=",
"91925099999","2023-01-02T03:00:00","4","-9.8","-139.0333333","53.0","HIVA OA, FP","FM-12","99999","V020","070,1,N,0036,1","99999,9,9,N","005000,1,9,9","+0255,1","+0230,1","10130,1","03,0010,3,1",,,,"99,9,+00450,1,99,9",,,,,"9,AGL   ,+99999,+99999","07,99,1,99,9,99,9,00450,1,99,9,99,9",,,,"99999,9,10069,1","3,1,008,1,+999,9","61,1",,"3,99,0113,1,999","SYN09891925 24450 70707 10255 20230 30069 40130 53008 761// 333 60017 90710 91122 555 69985 11122 58000=",
"91925099999","2023-01-02T04:00:00","4","-9.8","-139.0333333","53.0","HIVA OA, FP","FM-12","99999","V020","290,1,N,0005,1","99999,9,9,N","017000,1,9,9","+0249,1","+0228,1","10138,1","01,0000,2,1",,,,"99,9,+00450,1,99,9",,,,,"9,AGL   ,+99999,+99999","08,99,1,99,9,99,9,00450,1,99,9,99,9",,,,"99999,9,10077,1","3,1,017,1,+999,9","00,1",,"3,99,0036,1,999","SYN08691925 24467 82901 10249 20228 30077 40138 53017 700// 333 69905 90710 91107 555 12907=",
"91925099999","2023-01-02T05:00:00","4","-9.8","-139.0333333","53.0","HIVA OA, FP","FM-12","99999","V020","340,1,N,0010,1","99999,9,9,N","016000,1,9,9","+0242,1","+0223,1","10142,1","01,0000,2,1",,,,,,,,,,,,,,"99999,9,10081,1","1,1,020,1,+999,9","00,1",,"3,99,0026,1,999","SYN08691925 24566 /3402 10242 20223 30081 40142 51020 700// 333 69905 90710 91105 555 13005=",
"91925099999","2023-01-02T06:00:00","4","-9.8","-139.0333333","53.0","HIVA OA, FP","FM-12","99999","V020","040,1,N,0010,1","99999,9,9,N","015000,1,9,9","+0234,1","+0217,1","10146,1","03,0000,2,1","06,0010,3,1",,,,,,,,,,,,,"99999,9,10085,1","1,1,016,1,+999,9","00,1",,"3,99,0031,1,999","SYN11091925 04665 /0402 10234 20217 30085 40146 51016 60011 700// 333 55010 69907 90710 91106 555 60005 12907 59004=",
"91925099999","2023-01-02T07:00:00","4","-9.8","-139.0333333","53.0","HIVA OA, FP","FM-12","99999","V020","010,1,N,0010,1","99999,9,9,N","018000,1,9,9","+0232,1","+0209,1","10150,1","01,0000,9,1",,,,"99,9,+00800,1,99,9",,,,,"9,AGL   ,+99999,+99999","06,99,1,99,9,99,9,00800,1,99,9,99,9",,,,"99999,9,10089,1","2,1,012,1,+999,9","00,1",,"3,99,0036,1,999","SYN08691925 24568 60102 10232 20209 30089 40150 52012 700// 333 60005 90710 91107 555 13107=",
