"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"01017099999","2023-10-27T03:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","060,1,N,0060,1","99999,9,9,N","999999,9,9,9","-0022,1","-0029,1","10118,1","240,M,-0020,1","240,N,-0023,1","99999,9,10094,1","7,1,007,1,+999,9",,"3,99,0080,1,999","SYN07601017 46/// /0606 11022 21029 30094 40118 57007 333 11020 21023 90710 91108=",
"01017099999","2023-10-27T09:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","070,1,N,0070,1","99999,9,9,N","999999,9,9,9","-0017,1","-0031,1","10115,1","240,M,-0017,1","240,N,-0020,1","99999,9,10091,1","4,1,000,1,+999,9",,"3,99,0080,1,999","SYN07601017 46/// /0707 11017 21031 30091 40115 54000 333 11017 21020 90710 91108=",
"01017099999","2023-10-27T15:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","080,1,N,0050,1","99999,9,9,N","999999,9,9,9","-0015,1","-0033,1","10111,1","240,M,-0015,1","240,N,-0018,1","99999,9,10087,1",,,"3,99,0070,1,999","SYN07601017 46/// /0805 11015 21033 30087 40111 54003 333 11015 21018 90710 91107=","Q014     3APCTENQ02.3    3APC3  "
"01017099999","2023-10-27T21:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","060,1,N,0050,1","99999,9,9,N","999999,9,9,9","-0014,1","-0032,1","10114,1","240,M,-0013,1","240,N,-0014,1","99999,9,10090,1","2,1,005,1,+999,9",,"3,99,0060,1,999","SYN08201017 46/// /0605 11014 21032 30090 40114 52005 92100 333 11013 21014 90710 91106=",
"01017099999","2023-10-28T03:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","070,1,N,0040,1","99999,9,9,N","999999,9,9,9","-0012,1","-0030,1","10112,1","240,M,-0010,1","240,N,-0012,1","99999,9,10088,1",,,"3,99,0060,1,999","SYN07601017 46/// /0704 11012 21030 30088 40112 54002 333 11010 21012 90710 91106=","Q014     3APCTENQ02.2    3APC3  "
"01017099999","2023-10-28T09:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","060,1,N,0040,1","99999,9,9,N","999999,9,9,9","-0013,1","-0034,1","10123,1","240,M,-0012,1","240,N,-0013,1","99999,9,10099,1","2,1,010,1,+999,9",,"3,99,0050,1,999","SYN07601017 46/// /0604 11013 21034 30099 40123 52010 333 11012 21013 90710 91105=",
"01017099999","2023-10-28T15:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","060,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0018,1","-0028,1","10128,1","240,M,-0016,1","240,N,-0018,1","99999,9,10104,1",,,"3,99,0030,1,999","SYN07601017 46/// /0602 11018 21028 30104 40128 54001 333 11016 21018 90710 91103=","Q014     3APCTENQ02.1    3APC3  "
"01017099999","2023-10-28T21:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","060,1,N,0030,1","99999,9,9,N","999999,9,9,9","-0021,1","-0028,1","10136,1","240,M,-0020,1","240,N,-0021,1","99999,9,10112,1","2,1,005,1,+999,9",,"3,99,0040,1,999","SYN07601017 46/// /0603 11021 21028 30112 40136 52005 333 11020 21021 90710 91104=",
"01017099999","2023-10-29T03:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","050,1,N,0040,1","99999,9,9,N","999999,9,9,9","-0021,1","-0030,1","10135,1","240,M,-0020,1","240,N,-0022,1","99999,9,10111,1","4,1,000,1,+999,9",,"3,99,0050,1,999","SYN07601017 46/// /0504 11021 21030 30111 40135 54000 333 11020 21022 90710 91105=",
"01017099999","2023-10-29T09:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","070,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0019,1","-0034,1","10141,1","240,M,-0019,1","240,N,-0019,1","99999,9,10117,1","2,1,005,1,+999,9",,"3,99,0040,1,999","SYN07601017 46/// /0702 11019 21034 30117 40141 52005 333 11019 21019 90710 91104=",
