"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AW1","AW2","AW3","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"42080199999","2023-01-04T07:30:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","360,1,N,0062,1","22000,1,9,N","003000,1,9,9","+0210,1","+0100,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10180,1,99999,9","04,1",,,,"MET057METAR VABV 040730Z 36012KT 3000 FU NSC 21/10 Q1018 NOSIG=",
"42080199999","2023-01-04T08:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","350,1,N,0057,1","22000,1,9,N","003000,1,9,9","+0220,1","+0090,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10170,1,99999,9","04,1",,,,"MET057METAR VABV 040800Z 35011KT 3000 FU NSC 22/09 Q1017 NOSIG=",
"42080199999","2023-01-04T08:30:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","340,1,N,0077,1","22000,1,9,N","003000,1,9,9","+0220,1","+0100,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10170,1,99999,9","04,1",,,,"MET057METAR VABV 040830Z 34015KT 3000 FU NSC 22/10 Q1017 NOSIG=",
"42080199999","2023-01-04T09:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","340,1,N,0077,1","22000,1,9,N","003000,1,9,9","+0220,1","+0090,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10160,1,99999,9","04,1",,,,"MET051METAR VABV 040900Z 34015KT 3000 FU NSC 22/09 Q1016=",
"42080199999","2023-01-04T09:30:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","340,1,N,0077,1","22000,1,9,N","003000,1,9,9","+0220,1","+0090,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10160,1,99999,9","04,1",,,,"MET051METAR VABV 040930Z 34015KT 3000 FU NSC 22/09 Q1016=",
"42080199999","2023-01-04T10:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","340,1,N,0082,1","22000,1,9,N","003000,1,9,9","+0220,1","+0090,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10150,1,99999,9","04,1",,,,"MET051METAR VABV 041000Z 34016KT 3000 FU NSC 22/09 Q1015=",
"42080199999","2023-01-04T12:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","360,1,N,0072,1","22000,1,9,N","004000,1,9,9","+0220,1","+0070,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10150,1,99999,9","04,1",,,,"MET051METAR VABV 041200Z 36014KT 4000 FU NSC 22/07 Q1015=",
"42080199999","2023-01-05T02:30:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","020,1,N,0031,1","22000,1,9,N","002000,1,9,9","+0160,1","+0090,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10180,1,99999,9","04,1",,,,"MET051METAR VABV 050230Z 02006KT 2000 FU NSC 16/09 Q1018=",
"42080199999","2023-01-05T03:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","360,1,N,0041,1","22000,1,9,N","002000,1,9,9","+0160,1","+0100,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9","04,1",,,,"MET051METAR VABV 050300Z 36008KT 2000 FU NSC 16/10 Q1019=",
"42080199999","2023-01-05T03:30:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","360,1,N,0046,1","22000,1,9,N","002000,1,9,9","+0160,1","+0100,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9","04,1",,,,"MET051METAR VABV 050330Z 36009KT 2000 FU NSC 16/10 Q1019=",
