"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"80222599999","2023-01-08T22:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","010,1,N,0041,1","99999,9,9,N","009999,1,9,9","+0250,1","+0210,1","99999,9","04,1,+02743,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,02743,1,99,9,99,9","10120,1,99999,9",,,,"MET061METAR SKSA 082200Z 01008KT 9999 SCT090 25/21 Q1012 RMK A2989=",
"80222599999","2023-01-09T12:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","300,1,N,0026,1","02438,1,C,N","009999,1,9,9","+0240,1","+0190,1","99999,9","07,1,+02438,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,02438,1,99,9,99,9","10140,1,99999,9",,,,"MET061METAR SKSA 091200Z 30005KT 9999 BKN080 24/19 Q1014 RMK A2995=",
"80222599999","2023-01-09T14:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","310,1,N,0015,1","01829,1,C,N","009999,1,9,9","+0260,1","+0200,1","99999,9","07,1,+01829,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,01829,1,99,9,99,9","10150,1,99999,9",,,,"MET061METAR SKSA 091400Z 31003KT 9999 BKN060 26/20 Q1015 RMK A2999=",
"80222599999","2023-01-09T16:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","360,1,N,0021,1","01829,1,C,N","009999,1,9,9","+0290,1","+0190,1","99999,9","08,1,+01829,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,01829,1,99,9,99,9","10150,1,99999,9",,,,"MET061METAR SKSA 091600Z 36004KT 9999 OVC060 29/19 Q1015 RMK A2998=",
"80222599999","2023-01-09T18:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","360,1,N,0036,1","99999,9,9,N","009999,1,9,9","+0310,1","+0210,1","99999,9","04,1,+02134,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,02134,1,99,9,99,9","10120,1,99999,9",,,,"MET061METAR SKSA 091800Z 36007KT 9999 SCT070 31/21 Q1012 RMK A2990=",
"80222599999","2023-01-11T23:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","999,9,N,9999,9","99999,9,9,N","011265,5,9,9","+0270,5","+0220,5","99999,9",,,,,"10100,5,99999,9",,,,"MET060METAR SKSA 112300Z 0000KT 9999 FEW100 27/22 Q1010 RMK A2983=","D01      0ADE693D02      0ADE539"
"80222599999","2023-01-12T11:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","320,1,N,0015,1","02134,1,C,N","009999,1,9,9","+0230,1","+0210,1","99999,9","07,1,+02134,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,02134,1,99,9,99,9","10130,1,99999,9",,,,"MET061METAR SKSA 121100Z 32003KT 9999 BKN070 23/21 Q1013 RMK A2992=",
"80222599999","2023-01-12T15:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","090,1,N,0015,1","01524,1,C,N","009999,1,9,9","+0280,1","+0220,1","99999,9","08,1,+01524,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,01524,1,99,9,99,9","10160,1,99999,9",,,,"MET061METAR SKSA 121500Z 09003KT 9999 OVC050 28/22 Q1016 RMK A3000=",
"80222599999","2023-01-13T11:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","999,9,V,0010,1","02743,1,C,N","009999,1,9,9","+0230,1","+0200,1","99999,9","08,1,+02743,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,02743,1,99,9,99,9","10120,1,99999,9",,,,"MET061METAR SKSA 131100Z VRB02KT 9999 OVC090 23/20 Q1012 RMK A2989=",
"80222599999","2023-01-13T20:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","050,1,N,0026,1","99999,9,9,N","009999,1,9,9","+0310,1","+0210,1","99999,9","04,1,+01524,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,01524,1,99,9,99,9","10090,1,99999,9",,,,"MET061METAR SKSA 132000Z 05005KT 9999 SCT050 31/21 Q1009 RMK A2980=",
