"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AY1","AY2","GA1","GA2","GA3","GA4","GE1","GF1","KA1","KA2","MA1","MD1","MW1","REM","EQD"
"43410099999","2023-01-04T15:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0036,1","22000,1,9,N","020000,1,9,9","+0276,1","+0206,1","10137,1","03,0000,9,1",,,,"01,1,+00540,1,08,1",,,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00540,1,99,9,99,9",,,"99999,9,10133,1","9,9,999,9,-014,1",,"SYN07043410 22470 1//07 10276 20206 30133 40137 81100 333 59014 60007 81818=",
"43410099999","2023-01-05T00:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0046,1","99999,9,9,N","020000,1,9,9","+0264,1","+0213,1","10122,1","03,0000,9,1",,,,,,,,,,,,"99999,9,10118,1","9,9,999,9,-015,1",,"SYN05843410 22970 0//09 10264 20213 30118 40122 333 59015 60007=",
"43410099999","2023-01-05T03:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0036,1","22000,1,9,N","020000,1,9,9","+0272,1","+0212,1","10147,1","03,0000,9,1","24,0000,9,1",,,"03,1,+00540,1,08,1","01,1,+00600,1,09,1",,,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,00540,1,99,9,99,9","240,N,+0263,1",,"99999,9,10144,1","9,9,999,9,-011,1",,"SYN08843410 22470 3//07 10272 20212 30144 40147 83300 333 20263 59011 60007 70000 83818 81920=",
"43410099999","2023-01-05T06:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0031,1","22000,1,9,N","020000,1,9,9","+0288,1","+0217,1","10145,1","03,0000,9,1","24,0000,9,1",,,"01,1,+00540,1,08,1",,,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00540,1,99,9,99,9",,,"99999,9,10142,1","9,9,999,9,-001,1",,"SYN07643410 22470 1//06 10288 20217 30142 40145 81100 333 59001 60007 70000 81818=",
"43410099999","2023-01-05T09:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0026,1","22000,1,9,N","020000,1,9,9","+0288,1","+0223,1","10119,1","03,0000,9,1",,,,"02,1,+00540,1,08,1","01,1,+00600,1,09,1",,,"9,AGL   ,+99999,+99999","03,99,1,02,1,99,9,00540,1,99,9,99,9",,,"99999,9,10116,1","9,9,999,9,+003,1",,"SYN07643410 22470 3//05 10288 20223 30116 40119 82300 333 58003 60007 82818 81920=",
"43410099999","2023-01-05T12:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0051,1","03000,1,C,N","020000,1,9,9","+0278,1","+0222,1","10121,1","03,0000,9,1",,,,"02,1,+00540,1,08,1","03,1,+03000,1,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","05,99,1,02,1,99,9,00540,1,99,9,99,9","240,M,+0290,1",,"99999,9,10117,1","9,9,999,9,+005,1",,"SYN08843410 22470 5//10 10278 20222 30117 40121 82131 333 00024 10290 58005 60007 82818 83360=",
"43410099999","2023-01-05T15:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0046,1","22000,1,9,N","020000,1,9,9","+0275,1","+0224,1","10146,1","03,0000,9,1",,,,"03,1,+09000,1,00,1",,,,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,09000,1,99,9,99,9",,,"99999,9,10142,1","9,9,999,9,+009,1",,"SYN07043410 22970 3//09 10275 20224 30142 40146 80002 333 58009 60007 83080=",
"43410099999","2023-01-06T00:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0036,1","22000,1,9,N","020000,1,9,9","+0250,1","+0226,1","10132,1","09,0010,3,1",,,,"04,1,+00540,1,08,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,00540,1,99,9,99,9",,,"99999,9,10129,1","9,9,999,9,+010,1","60,1","SYN07643410 21470 4//07 10250 20226 30129 40132 760// 84201 333 58010 60018 84818=",
"43410099999","2023-01-06T03:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0041,1","03000,1,9,N","020000,1,9,9","+0250,1","+0223,1","10160,1","03,0100,3,1","24,0108,3,1","9,1,02,1","8,1,02,1","04,1,+00540,1,08,1","07,1,+03000,1,04,1",,,"9,AGL   ,+99999,+99999","07,99,1,04,1,99,9,00540,1,99,9,99,9","240,N,+0243,1",,"99999,9,10156,1","9,9,999,9,+013,1","01,1","SYN09443410 21470 7//08 10250 20223 30156 40160 70198 84260 333 20243 58013 60107 70108 84818 87460=",
"43410099999","2023-01-06T06:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0036,1","00540,1,C,N","020000,1,9,9","+0270,1","+0226,1","10162,1","03,0000,9,1","24,0108,3,1",,,"05,1,+00540,1,08,1","04,1,+09000,1,00,1",,,"9,AGL   ,+99999,+99999","07,99,1,05,1,99,9,00540,1,99,9,99,9",,,"99999,9,10159,1","9,9,999,9,+017,1",,"SYN08243410 22470 7//07 10270 20226 30159 40162 85202 333 58017 60007 70108 85818 84080=",
"43410099999","2023-01-06T09:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0036,1","03000,1,9,N","020000,1,9,9","+0266,1","+0234,1","10128,1","03,0000,9,1",,"8,1,02,1","2,1,02,1","03,1,+00540,1,08,1","01,1,+00600,1,09,1","07,1,+03000,1,04,1",,"9,AGL   ,+99999,+99999","08,99,1,03,1,99,9,00540,1,99,9,99,9",,,"99999,9,10125,1","9,9,999,9,+009,1","03,1","SYN08843410 21470 8//07 10266 20234 30125 40128 70382 8336/ 333 58009 60007 83818 81920 87460=",
"43410099999","2023-01-06T12:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0031,1","03000,1,9,N","020000,1,9,9","+0268,1","+0214,1","10131,1","03,0000,9,1",,,,"03,1,+00540,1,08,1","07,1,+03000,1,04,1",,,"9,AGL   ,+99999,+99999","08,99,1,03,1,99,9,00540,1,99,9,99,9","240,M,+0272,1",,"99999,9,10128,1","9,9,999,9,+011,1",,"SYN08843410 22470 8//06 10268 20214 30128 40131 8327/ 333 00023 10272 58011 60007 83818 87460=",
"43410099999","2023-01-06T15:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0041,1","03000,1,C,N","020000,1,9,9","+0264,1","+0222,1","10154,1","03,0000,9,1",,,,"02,1,+00540,1,08,1","04,1,+03000,1,03,1",,,"9,AGL   ,+99999,+99999","06,99,1,02,1,99,9,00540,1,99,9,99,9",,,"99999,9,10151,1","9,9,999,9,+009,1",,"SYN07643410 22470 6//08 10264 20222 30151 40154 82230 333 58009 60007 82818 84360=",
"43410099999","2023-01-07T03:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0031,1","03000,1,9,N","020000,1,9,9","+0252,1","+0225,1","10155,1","12,0510,3,1","24,0621,3,1","8,1,02,1","8,1,02,1","02,1,+00540,1,08,1","01,1,+00600,1,09,1","07,1,+03000,1,04,1",,"9,AGL   ,+99999,+99999","08,99,1,02,1,99,9,00540,1,99,9,99,9","240,N,+0239,1",,"99999,9,10151,1","9,9,999,9,-005,1","03,1","SYN10043410 21470 8//06 10252 20225 30151 40155 70388 8236/ 333 20239 59005 60512 70621 82818 81920 87460=",
"43410099999","2023-01-07T06:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0036,1","03000,1,9,N","020000,1,9,9","+0256,1","+0229,1","10151,1","03,0080,3,1","24,0513,3,1","8,1,02,1","8,1,02,1","03,1,+00540,1,08,1","01,1,+00600,1,09,1","05,1,+03000,1,04,1",,"9,AGL   ,+99999,+99999","08,99,1,03,1,99,9,00540,1,99,9,99,9",,,"99999,9,10147,1","9,9,999,9,-011,1","80,1","SYN09443410 21470 8//07 10256 20229 30147 40151 78088 8336/ 333 59011 60087 70513 83818 81920 85460=",
"43410099999","2023-01-07T09:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0041,1","03000,1,9,N","020000,1,9,9","+0270,1","+0219,1","10122,1","03,0000,9,1",,,,"03,1,+00540,1,08,1","08,1,+03000,1,04,1",,,"9,AGL   ,+99999,+99999","08,99,1,03,1,99,9,00540,1,99,9,99,9",,,"99999,9,10118,1","9,9,999,9,-006,1",,"SYN07643410 22470 8//08 10270 20219 30118 40122 8326/ 333 59006 60007 83818 88460=",
"43410099999","2023-01-07T12:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0046,1","00600,1,C,N","020000,1,9,9","+0270,1","+0213,1","10122,1","03,0000,9,1","24,0000,9,1",,,"04,1,+00540,1,08,1","01,1,+00600,1,09,1","08,1,+03000,1,04,1",,"9,AGL   ,+99999,+99999","08,99,1,04,1,99,9,00540,1,99,9,99,9","240,M,+0272,1",,"99999,9,10119,1","9,9,999,9,-009,1",,"SYN10043410 22470 8//09 10270 20213 30119 40122 8436/ 333 00022 10272 59009 60007 70000 84818 81920 88460=",
"43410099999","2023-01-08T03:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0031,1","00540,1,C,N","020000,1,9,9","+0266,1","+0212,1","10150,1","03,0000,9,1","24,0008,3,1",,,"07,1,+00540,1,08,1","02,1,+03000,1,03,1",,,"9,AGL   ,+99999,+99999","07,99,1,07,1,99,9,00540,1,99,9,99,9","240,N,+0250,1",,"99999,9,10147,1","9,9,999,9,-005,1",,"SYN08843410 22470 7//06 10266 20212 30147 40150 8723/ 333 20250 59005 60007 70008 87818 82360=",
"43410099999","2023-01-08T06:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0036,1","03000,1,9,N","020000,1,9,9","+0276,1","+0213,1","10149,1","03,0000,9,1","24,0000,9,1",,,"03,1,+00540,1,08,1","08,1,+03000,1,04,1",,,"9,AGL   ,+99999,+99999","08,99,1,03,1,99,9,00540,1,99,9,99,9",,,"99999,9,10146,1","9,9,999,9,-002,1",,"SYN08243410 22470 8//07 10276 20213 30146 40149 8326/ 333 59002 60007 70000 83818 88460=",
"43410099999","2023-01-08T09:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0036,1","99999,9,9,N","020000,1,9,9","+0281,1","+0211,1","10122,1","03,0000,9,1",,,,"01,1,+00540,1,08,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","07,99,1,01,1,99,9,00540,1,99,9,99,9",,,"99999,9,10119,1","9,9,999,9,+000,1",,"SYN07043410 22470 7//07 10281 20211 30119 40122 81101 333 58000 60007 81818=",
"43410099999","2023-01-08T12:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0031,1","22000,1,9,N","020000,1,9,9","+0270,1","+0200,1","10123,1","03,0000,9,1",,,,"02,1,+00540,1,08,1",,,,"9,AGL   ,+99999,+99999","02,99,1,02,1,99,9,00540,1,99,9,99,9","240,M,+0283,1",,"99999,9,10120,1","9,9,999,9,+001,1",,"SYN08243410 22470 2//06 10270 20200 30120 40123 82100 333 00024 10283 58001 60007 82818=",
"43410099999","2023-01-09T00:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0051,1","22000,1,9,N","020000,1,9,9","+0257,1","+0187,1","10136,1","03,0000,9,1",,,,"01,1,+00540,1,08,1",,,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00540,1,99,9,99,9",,,"99999,9,10133,1",,,"SYN07043410 22470 1//10 10257 20187 30133 40136 81100 333 5//// 60007 81818=",
"43410099999","2023-01-09T03:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0051,1","22000,1,9,N","020000,1,9,9","+0263,1","+0186,1","10167,1","03,0000,9,1","24,0000,9,1",,,"01,1,+00540,1,08,1","01,1,+00600,1,09,1",,,"9,AGL   ,+99999,+99999","02,99,1,01,1,99,9,00540,1,99,9,99,9","240,N,+0256,1",,"99999,9,10164,1","9,9,999,9,+014,1",,"SYN08843410 22470 2//10 10263 20186 30164 40167 81300 333 20256 58014 60007 70000 81818 81920=",
"43410099999","2023-01-09T06:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0031,1","22000,1,9,N","020000,1,9,9","+0280,1","+0190,1","10164,1","03,0000,9,1","24,0000,9,1",,,"03,1,+00540,1,08,1",,,,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,00540,1,99,9,99,9",,,"99999,9,10161,1","9,9,999,9,+015,1",,"SYN07643410 22470 3//06 10280 20190 30161 40164 83200 333 58015 60007 70000 83818=",
"43410099999","2023-01-09T09:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0031,1","22000,1,9,N","020000,1,9,9","+0280,1","+0194,1","10134,1","03,0000,9,1",,,,"02,1,+00540,1,08,1",,,,"9,AGL   ,+99999,+99999","02,99,1,02,1,99,9,00540,1,99,9,99,9",,,"99999,9,10131,1","9,9,999,9,+012,1",,"SYN07043410 22470 2//06 10280 20194 30131 40134 82200 333 58012 60007 82818=",
"43410099999","2023-01-09T12:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0036,1","22000,1,9,N","020000,1,9,9","+0264,1","+0189,1","10137,1","03,0000,9,1",,,,"03,1,+00540,1,08,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,00540,1,99,9,99,9","240,M,+0283,1",,"99999,9,10134,1","9,9,999,9,+014,1",,"SYN08243410 22470 3//07 10264 20189 30134 40137 83102 333 00023 10283 58014 60007 83818=",
"43410099999","2023-01-09T15:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0046,1","22000,1,9,N","020000,1,9,9","+0260,1","+0188,1","10160,1","03,0000,9,1",,,,"01,1,+00540,1,08,1",,,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00540,1,99,9,99,9",,,"99999,9,10157,1",,,"SYN07043410 22470 1//09 10260 20188 30157 40160 81100 333 5//// 60007 81818=",
"43410099999","2023-01-10T00:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0046,1","22000,1,9,N","020000,1,9,9","+0252,1","+0200,1","10138,1","03,0000,9,1",,,,"01,1,+00540,1,08,1",,,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00540,1,99,9,99,9",,,"99999,9,10135,1","9,9,999,9,+002,1",,"SYN07043410 22470 1//09 10252 20200 30135 40138 81100 333 58002 60007 81818=",
"43410099999","2023-01-10T03:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0031,1","22000,1,9,N","020000,1,9,9","+0260,1","+0181,1","10163,1","03,0000,9,1","24,0000,9,1",,,"02,1,+00540,1,08,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","02,99,1,02,1,99,9,00540,1,99,9,99,9","240,N,+0251,1",,"99999,9,10161,1","9,9,999,9,-004,1",,"SYN08243410 22470 2//06 10260 20181 30161 40163 82101 333 20251 59004 60007 70000 82818=",
