"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","OD1","REM"
"99734299999","2023-01-02T12:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","280,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0021,1","+9999,9","99999,9","5,99,0010,1,999","SYN040MLWW3 46/// /2802 10021 91140 333 91202="
"99734299999","2023-01-02T13:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","340,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0022,1","+9999,9","99999,9","5,99,0015,1,999","SYN040MLWW3 46/// /3403 10022 91240 333 91203="
"99734299999","2023-01-02T14:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","360,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0016,1","+9999,9","99999,9","5,99,0026,1,999","SYN040MLWW3 46/// /3604 10016 91340 333 91205="
"99734299999","2023-01-02T15:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","360,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0019,1","+9999,9","99999,9","5,99,0026,1,999","SYN040MLWW3 46/// /3604 10019 91440 333 91205="
"99734299999","2023-01-02T16:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","020,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0018,1","+9999,9","99999,9","5,99,0021,1,999","SYN040MLWW3 46/// /0203 10018 91540 333 91204="
"99734299999","2023-01-02T17:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","020,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0018,1","+9999,9","99999,9","5,99,0051,1,999","SYN040MLWW3 46/// /0209 10018 91640 333 91210="
"99734299999","2023-01-02T18:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","050,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0017,1","+9999,9","99999,9","5,99,0026,1,999","SYN040MLWW3 46/// /0504 10017 91740 333 91205="
"99734299999","2023-01-02T19:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","050,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0015,1","+9999,9","99999,9","5,99,0026,1,999","SYN040MLWW3 46/// /0505 10015 91840 333 91205="
"99734299999","2023-01-02T20:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","030,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0014,1","+9999,9","99999,9","5,99,0041,1,999","SYN040MLWW3 46/// /0307 10014 91940 333 91208="
"99734299999","2023-01-02T21:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","040,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0015,1","+9999,9","99999,9","5,99,0046,1,999","SYN040MLWW3 46/// /0407 10015 92040 333 91209="
"99734299999","2023-01-02T22:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","040,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0016,1","+9999,9","99999,9","5,99,0046,1,999","SYN040MLWW3 46/// /0408 10016 92140 333 91209="
"99734299999","2023-01-02T23:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","040,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0017,1","+9999,9","99999,9","5,99,0041,1,999","SYN040MLWW3 46/// /0407 10017 92240 333 91208="
"99734299999","2023-01-03T00:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","050,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0019,1","+9999,9","99999,9","5,99,0031,1,999","SYN040MLWW3 46/// /0506 10019 92340 333 91206="
"99734299999","2023-01-03T01:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","030,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0021,1","+9999,9","99999,9","5,99,0057,1,999","SYN040MLWW3 46/// /0310 10021 90040 333 91211="
"99734299999","2023-01-03T02:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","050,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0022,1","+9999,9","99999,9","5,99,0051,1,999","SYN040MLWW3 46/// /0510 10022 90140 333 91210="
"99734299999","2023-01-03T03:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","060,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0024,1","+9999,9","99999,9","5,99,0031,1,999","SYN040MLWW3 46/// /0606 10024 90240 333 91206="
