"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","KA1","KA2","MA1","MD1","OC1","OD1","REM"
"81901099999","2023-01-02T03:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","999,9,C,0000,1","99999,9,9,9","999999,9,9,9","+0252,1","+0226,1","10123,1","99,9999,9,9","120,M,+0259,1","120,N,+0253,1","99999,9,09901,1","2,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-02T04:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","999,9,C,0000,1","99999,9,9,9","999999,9,9,9","+0251,1","+0228,1","10121,1","99,9999,9,9","120,M,+0253,1","120,N,+0250,1","99999,9,09899,1","4,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-02T05:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","999,9,C,0000,1","99999,9,9,9","999999,9,9,9","+0246,1","+0229,1","10118,1","99,9999,9,9","120,M,+0252,1","120,N,+0245,1","99999,9,09896,1","7,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-02T06:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","999,9,C,0000,1","99999,9,9,9","999999,9,9,9","+0245,1","+0225,1","10114,1","99,9999,9,9","120,M,+0246,1","120,N,+0244,1","99999,9,09892,1","7,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-02T07:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","094,1,N,0009,1","99999,9,9,9","999999,9,9,9","+0240,1","+0221,1","10116,1","99,9999,9,9","120,M,+0246,1","120,N,+0240,1","99999,9,09893,1","7,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-02T08:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","999,9,C,0000,1","99999,9,9,9","999999,9,9,9","+0242,1","+0221,1","10117,1","99,9999,9,9","120,M,+0244,1","120,N,+0240,1","99999,9,09895,1",,,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-02T09:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","999,9,C,0000,1","99999,9,9,9","999999,9,9,9","+0242,1","+0221,1","10123,1","99,9999,9,9","120,M,+0245,1","120,N,+0243,1","99999,9,09900,1","2,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-02T10:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","079,1,N,0007,1","99999,9,9,9","999999,9,9,9","+0260,1","+0226,1","10127,1","99,9999,9,9","120,M,+0259,1","120,N,+0243,1","99999,9,09905,1","2,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-02T11:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","035,1,N,0005,1","99999,9,9,9","999999,9,9,9","+0277,1","+0220,1","10132,1","99,9999,9,9","120,M,+0282,1","120,N,+0259,1","99999,9,09912,1","2,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-02T12:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","353,1,N,0024,1","99999,9,9,9","999999,9,9,9","+0281,1","+0221,1","10134,1","99,9999,9,9","120,M,+0291,1","120,N,+0275,1","99999,9,09914,1","2,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
