"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AJ1","AL1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GA4","GA5","GE1","GF1","GG1","GG2","IA1","IA2","KA1","MA1","MD1","ME1","MW1","OC1","OD1","OD2","REM","EQD"
"11933099999","2023-01-01T22:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0060,1","-0005,1","99999,9",,,,,,,,,,,,,,,,,,,,,,"99999,9,08757,1",,"3,1571,9",,,,,"SYN04211933 46/// /9901 10060 21005 38757 48571=",
"11933099999","2023-01-01T23:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0057,1","-0008,1","99999,9",,,,,,,,,,,,,,,,,,,,,,"99999,9,08754,1",,"3,1568,9",,,,,"SYN04211933 46/// /9901 10057 21008 38754 48568=",
"11933099999","2023-01-02T00:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0050,1","-0010,1","99999,9","06,0000,9,1",,,,,,,,,,,,,,,,,,,,,"99999,9,08751,1","7,1,007,1,+999,9","3,1564,9",,,,,"SYN06411933 16/// /9901 10050 21010 38751 48564 57007 60001 333 55042=",
"11933099999","2023-01-02T01:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0040,1","-0012,1","99999,9",,,,,,,,,,,,,,,,,,,,,,"99999,9,08748,1",,"3,1560,9",,,,,"SYN04211933 46/// /9901 10040 21012 38748 48560=",
"11933099999","2023-01-02T02:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0048,1","-0010,1","99999,9",,,,,,,,,,,,,,,,,,,,,,"99999,9,08746,1",,"3,1559,9",,,,,"SYN04211933 46/// /9901 10048 21010 38746 48559=",
"11933099999","2023-01-02T03:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0039,1","+0001,1","99999,9",,,,,,,,,,,,,,,,,,,,,,"99999,9,08742,1","7,1,009,1,+999,9","3,1555,9",,,,,"SYN04811933 46/// /9901 10039 20001 38742 48555 57009=",
"11933099999","2023-01-02T04:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0039,1","+0002,1","99999,9",,,,,,,,,,,,,,,,,,,,,,"99999,9,08742,1",,"3,1555,9",,,,,"SYN04211933 46/// /9901 10039 20002 38742 48555=",
"11933099999","2023-01-02T05:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0032,1","-0006,1","99999,9",,,,,,,,,,,,,,,,,,,,,,"99999,9,08741,1",,"3,1553,9",,,,,"SYN04211933 46/// /9901 10032 21006 38741 48553=",
"11933099999","2023-01-02T06:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","22000,1,9,N","060000,1,9,9","+0034,1","-0008,1","99999,9","12,0000,9,1","24,0000,9,1",,"9999,9,9,999999,9,9",,,,,,"01,1,+06000,1,00,1",,,,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,06000,1,99,9,99,9",,,"25,9",,"240,N,+0031,1","99999,9,08740,1","8,1,002,1,+999,9","3,1552,9",,,,,"SYN09411933 12986 19901 10034 21008 38740 48552 58002 60002 80001 333 20031 3/100 41998 70000 81070=",
"11933099999","2023-01-02T07:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","22000,1,9,N","070001,1,9,9","+0032,1","-0008,1","99999,9",,,,,,,,,,"01,1,+00180,1,07,1","04,1,+06000,1,00,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","04,99,1,01,1,99,9,00180,1,99,9,99,9",,,,,,"99999,9,08742,1",,"3,1554,9",,,,,"SYN08011933 42389 49901 10032 21008 38742 48554 81641 333 81706 84070 9512/ 444 17073=",
"11933099999","2023-01-02T08:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","06000,1,C,N","070001,1,9,9","+0048,1","+0009,1","99999,9",,,,,,,,,,"01,1,+00180,1,07,1","06,1,+06000,1,00,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","06,99,1,01,1,99,9,00180,1,99,9,99,9",,,,,,"99999,9,08743,1",,"3,1557,9",,,,,"SYN08011933 42389 69901 10048 20009 38743 48557 81642 333 81706 86070 9512/ 444 17083=",
"11933099999","2023-01-02T09:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","06000,1,C,N","070001,1,9,9","+0059,1","+0024,1","99999,9",,,,,,,,,,"02,1,+00300,1,06,1","06,1,+06000,1,00,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","06,99,1,02,1,99,9,00300,1,99,9,99,9",,,,,,"99999,9,08744,1","2,1,004,1,+999,9","3,1558,9",,,,,"SYN08611933 42489 69901 10059 20024 38744 48558 52004 82542 333 82610 86070 9512/ 444 17083=",
"11933099999","2023-01-02T10:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","06000,1,C,N","070001,1,9,9","+0079,1","+0034,1","99999,9",,,,,,,,,,"02,1,+00300,1,06,1","05,1,+06000,1,00,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","05,99,1,02,1,99,9,00300,1,99,9,99,9",,,,,,"99999,9,08741,1",,"3,1557,9",,,,,"SYN06411933 42489 59901 10079 20034 38741 48557 82542 333 82610 85070=",
"11933099999","2023-01-02T11:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","22000,1,9,N","070001,1,9,9","+0089,1","+0041,1","99999,9",,,,,,,,,,"03,1,+00300,1,06,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","04,99,1,03,1,99,9,00300,1,99,9,99,9",,,,,,"99999,9,08735,1",,"3,1552,9",,,,,"SYN05811933 42489 49901 10089 20041 38735 48552 83542 333 83610=",
"11933099999","2023-01-02T12:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","22000,1,9,N","045000,1,9,9","+0078,1","+0042,1","99999,9","06,0000,9,1",,,,,,,,,"04,1,+06000,1,00,1","99,9,+99999,9,00,1",,,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,06000,1,99,9,99,9",,,,,,"99999,9,08728,1","7,1,016,1,+999,9","3,1545,9",,,,,"SYN08611933 12/83 49901 10078 20042 38728 48545 57016 60001 83502 333 826// 84070 444 26154=",
"11933099999","2023-01-02T13:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","06000,1,9,N","045000,1,9,9","+0070,1","+0045,1","99999,9",,,,,,,,,,"03,1,+00300,1,06,1","06,1,+06000,1,00,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","06,99,1,03,1,99,9,00300,1,99,9,99,9",,,,,,"99999,9,08722,1",,"3,1539,9",,,,,"SYN08011933 42/83 69901 10070 20045 38722 48539 83542 333 826// 83610 86070 444 26155=",
"11933099999","2023-01-02T14:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","06000,1,C,N","070001,1,9,9","+0056,1","+0036,1","99999,9",,,,,,,,,,"02,1,+00180,1,06,1","06,1,+06000,1,00,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","06,99,1,02,1,99,9,00180,1,99,9,99,9",,,,,,"99999,9,08718,1",,"3,1534,9",,,,,"SYN06411933 42389 69901 10056 20036 38718 48534 82542 333 82606 86070=",
"11933099999","2023-01-02T15:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","06000,1,C,N","070001,1,9,9","+0044,1","+0032,1","99999,9",,,,,,,,,,"01,1,+00180,1,06,1","06,1,+06000,1,00,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","06,99,1,01,1,99,9,00180,1,99,9,99,9",,,,,,"99999,9,08715,1","7,1,013,1,+999,9","3,1530,9",,,,,"SYN07011933 42389 69901 10044 20032 38715 48530 57013 81542 333 81606 86070=",
