"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","MA1","MD1","REM","EQD"
"06009099999","2023-01-04T12:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0064,1","+0045,1","09968,1","01,0700,3,2","03,0000,9,2","99999,9,09871,1","2,1,999,9,+999,9","SYN06406009 069// /9902 10064 20045 39871 49968 52/// 60705 333 60007=",
"06009099999","2023-01-04T15:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0050,1","+0024,1","09984,1","01,0700,3,2","03,0000,9,2","99999,9,09886,1","2,1,999,9,+999,9","SYN06406009 069// /9902 10050 20024 39886 49984 52/// 60705 333 60007=",
"06009099999","2023-01-04T18:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0050,1","+0011,1","10008,1","01,0700,3,2","03,0000,9,2","99999,9,09910,1","3,1,999,9,+999,9","SYN06406009 069// /9902 10050 20011 39910 40008 53/// 60705 333 60007=",
"06009099999","2023-01-04T21:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0050,1","-0008,1","10024,1","01,0700,3,2","03,0000,9,2","99999,9,09926,1","1,1,999,9,+999,9","SYN06406009 069// /9902 10050 21008 39926 40024 51/// 60705 333 60007=",
"06009099999","2023-01-05T00:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0053,1","-0005,1","10040,1","01,0700,3,2","03,0000,9,2","99999,9,09942,1","2,1,999,9,+999,9","SYN06406009 069// /9902 10053 21005 39942 40040 52/// 60705 333 60007=",
"06009099999","2023-01-05T03:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0055,1","-0004,1","10045,1","01,0700,3,2","03,0000,9,2","99999,9,09947,1","2,1,999,9,+999,9","SYN06406009 069// /9902 10055 21004 39947 40045 52/// 60705 333 60007=",
"06009099999","2023-01-05T06:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0053,1","+0020,1","10042,1","01,0700,3,2","03,0000,9,2","99999,9,09944,1","7,1,999,9,+999,9","SYN06406009 069// /9902 10053 20020 39944 40042 57/// 60705 333 60007=",
"06009099999","2023-01-05T09:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0045,1","+0045,1","10043,1","01,0700,3,2","03,0000,9,2","99999,9,09944,1","4,1,999,9,+999,9","SYN06406009 069// /9902 10045 20045 39944 40043 54/// 60705 333 60007=",
"06009099999","2023-01-05T12:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0052,1","+0040,1","10029,1","01,0700,3,2","03,0000,9,2","99999,9,09931,1","8,1,999,9,+999,9","SYN06406009 069// /9902 10052 20040 39931 40029 58/// 60705 333 60007=",
"06009099999","2023-01-05T15:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0051,1","+0036,1","09994,1","01,0700,3,2","03,0000,9,2","99999,9,09897,1","8,1,999,9,+999,9","SYN06406009 069// /9902 10051 20036 39897 49994 58/// 60705 333 60007=",
"06009099999","2023-01-05T18:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0051,1","+0021,1","09945,1","01,0700,3,2","03,0000,9,2","99999,9,09848,1","8,1,999,9,+999,9","SYN06406009 069// /9902 10051 20021 39848 49945 58/// 60705 333 60007=",
"06009099999","2023-01-05T21:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0046,1","+0021,1","09887,1","01,0700,3,2","03,0000,9,2","99999,9,09790,1","8,1,999,9,+999,9","SYN06406009 069// /9902 10046 20021 39790 49887 58/// 60705 333 60007=",
"06009099999","2023-01-06T00:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0044,1","+0041,1","09823,1","01,0700,3,2","03,0000,9,2","99999,9,09726,1","8,1,999,9,+999,9","SYN06406009 069// /9902 10044 20041 39726 49823 58/// 60705 333 60007=",
"06009099999","2023-01-06T03:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0049,1","+0048,1","09783,2","03,0000,9,1",,"99999,9,09687,2","7,1,999,9,+999,9","SYN05406009 169// /9902 10049 20048 39687 49783 57/// 60007=",
"06009099999","2023-01-06T06:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0049,1","+0044,1","09796,1","01,0700,3,2","12,0004,3,2","99999,9,09700,1","3,1,999,9,+999,9","SYN06406009 069// /9902 10049 20044 39700 49796 53/// 60705 333 69942=",
"06009099999","2023-01-06T09:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0041,1","+0033,1","09842,1",,,"99999,9,09745,1","2,1,999,9,+999,9","SYN04806009 469// /9902 10041 20033 39745 49842 52///=",
"06009099999","2023-01-06T12:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0046,1","+0015,1","09888,1","01,0700,3,2","06,0002,3,2","99999,9,09791,1","1,1,999,9,+999,9","SYN06406009 069// /9902 10046 20015 39791 49888 51/// 60705 333 69921=",
"06009099999","2023-01-06T15:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0038,1","+0001,1","09908,1",,,"99999,9,09811,1","2,1,999,9,+999,9","SYN04806009 469// /9902 10038 20001 39811 49908 52///=",
"06009099999","2023-01-06T18:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0028,1","-0015,1","09923,1","01,0700,3,2","03,0000,9,2","99999,9,09825,1",,"SYN06406009 069// /9902 10028 21015 39825 49923 50/// 60705 333 60007=",
"06009099999","2023-01-06T21:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0034,1","-0031,1","09929,1","01,0700,3,2","03,0000,9,2","99999,9,09832,1",,"SYN06406009 069// /9902 10034 21031 39832 49929 50/// 60705 333 60007=",
"06009099999","2023-01-07T00:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0038,1","-0015,1","09916,1","01,0700,3,2","03,0000,9,2","99999,9,09819,1","8,1,999,9,+999,9","SYN06406009 069// /9902 10038 21015 39819 49916 58/// 60705 333 60007=",
"06009099999","2023-01-07T03:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0052,1","+0025,1","09880,1","01,0700,3,2","03,0000,9,2","99999,9,09784,1","8,1,999,9,+999,9","SYN06406009 069// /9902 10052 20025 39784 49880 58/// 60705 333 60007=",
"06009099999","2023-01-07T06:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0067,1","+0049,1","09849,1","01,0700,3,2","03,0000,9,2","99999,9,09754,1","7,1,999,9,+999,9","SYN06406009 069// /9902 10067 20049 39754 49849 57/// 60705 333 60007=",
