"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","KA1","MA1","ME1","REM","EQD"
"41304099999","2023-09-02T03:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","140,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0238,1","+0230,1","10042,1",,,,"99999,9,09739,1",,"SYN07041304 36/// /1409 10238 20230 39739 40042 333 0E023 55300 20000 59008=",
"41304099999","2023-09-02T06:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","330,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0339,1","+0125,1","10046,1",,,"240,N,+0232,1","99999,9,09752,1",,"SYN07641304 36/// /3308 10339 20125 39752 40046 333 0E023 20232 55300 21581 59005=",
"41304099999","2023-09-02T09:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","320,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0412,1","+0122,1","10018,1",,,,"99999,9,09732,1",,"SYN07041304 36/// /3207 10412 20122 39732 40018 333 0E023 55300 23418 59011=",
"41304099999","2023-09-02T12:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","360,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0423,1","+0120,1","09995,1",,,,"99999,9,09710,1",,"SYN07041304 36/// /0008 10423 20120 39710 49995 333 0E023 55300 22843 59014=",
"41304099999","2023-09-02T15:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","140,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0357,1","+0164,1","10006,1",,,,"99999,9,09715,1",,"SYN07041304 36/// /1413 10357 20164 39715 40006 333 0E024 55300 20628 59013=",
"41304099999","2023-09-02T18:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","150,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0310,1","+0197,1","10022,1",,,"120,M,+0430,1","99999,9,09727,1",,"SYN07641304 36/// /1512 10310 20197 39727 40022 333 0E031 10430 55300 20000 59018=",
"41304099999","2023-09-02T21:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","150,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0278,1","+0214,1","10018,1",,,,"99999,9,09720,1",,"SYN07041304 36/// /1510 10278 20214 39720 40018 333 0E028 55300 20000 59022=",
"41304099999","2023-09-03T00:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","140,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0252,1","+0230,1","10017,1",,,,"99999,9,09717,1",,"SYN07041304 36/// /1409 10252 20230 39717 40017 333 0E026 55300 20000 59015=",
"41304099999","2023-09-03T03:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","130,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0257,1","+0226,1","10024,1",,,,"99999,9,09724,1",,"SYN07041304 36/// /1307 10257 20226 39724 40024 333 0E025 55300 20000 59015=",
"41304099999","2023-09-03T06:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0362,1","+0182,1","10026,1",,,"240,N,+0251,1","99999,9,09735,1",,"SYN07641304 36/// /3500 10362 20182 39735 40026 333 0E025 20251 55300 21527 59017=",
"41304099999","2023-09-03T09:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","050,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0408,1","+0144,1","09999,1",,,,"99999,9,09713,1",,"SYN07041304 36/// /0505 10408 20144 39713 49999 333 0E025 55300 23302 59019=",
"41304099999","2023-09-03T12:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","110,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0410,1","+0180,1","09978,1",,,,"99999,9,09693,1",,"SYN07041304 36/// /1107 10410 20180 39693 49978 333 0E025 55300 22778 59017=",
"41304099999","2023-09-03T15:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","140,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0328,1","+0209,1","09994,1",,,,"99999,9,09702,1",,"SYN07041304 36/// /1413 10328 20209 39702 49994 333 0E026 55300 20588 59013=",
"41304099999","2023-09-03T18:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","140,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0287,1","+0228,1","10012,1",,,"120,M,+0423,1","99999,9,09715,1",,"SYN07641304 36/// /1412 10287 20228 39715 40012 333 0E029 10423 55300 20000 59012=",
"41304099999","2023-09-03T21:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","140,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0255,1","+0237,1","10011,1",,,,"99999,9,09711,1",,"SYN07041304 36/// /1415 10255 20237 39711 40011 333 0E026 55300 20000 59009=",
"41304099999","2023-09-04T00:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","140,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0238,1","+0238,1","10013,1",,,,"99999,9,09711,1",,"SYN07041304 36/// /1413 10238 20238 39711 40013 333 0E024 55300 20000 59006=",
"41304099999","2023-09-04T03:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","140,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0238,1","+0238,1","10022,1",,,,"99999,9,09721,1",,"SYN07041304 36/// /1416 10238 20238 39721 40022 333 0E024 55300 20000 59004=",
"41304099999","2023-09-04T06:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","150,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0296,1","+0248,1","10031,1",,,"240,N,+0235,1","99999,9,09735,1",,"SYN07641304 36/// /1514 10296 20248 39735 40031 333 0E024 20235 55300 21550 59000=",
"41304099999","2023-09-04T09:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","110,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0330,1","+0219,1","10010,1",,,,"99999,9,09717,1",,"SYN07041304 36/// /1110 10330 20219 39717 40010 333 0E024 55300 23328 58005=",
