"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","GA1","GA2","GE1","GF1","KA1","KA2","MA1","MD1","ME1","MW1","REM","EQD"
"43133099999","2023-07-28T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0240,1","+0193,1","10096,1",,,,,,,,,,"240,M,+0295,1","240,N,+0210,1","99999,9,09842,1","9,9,999,9,+002,1",,,"SYN07443133 32997 00000 10240 20193 39842 40096 333 10295 20210 58002 555 10178=",
"43133099999","2023-07-28T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0280,1","+0168,1","09916,1",,,,,,,,,,"240,M,+0300,1",,"99999,9,09660,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10280 20168 39660 49916 333 10300 58002=",
"43133099999","2023-07-29T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0260,1","+0199,1","10098,1",,,,,,,,,,"240,M,+0300,1","240,N,+0230,1","99999,9,09844,1","9,9,999,9,+002,1",,,"SYN07443133 32997 00000 10260 20199 39844 40098 333 10300 20230 58002 555 10178=",
"43133099999","2023-07-29T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0284,1","+0166,1","09918,1",,,,,,,,,,"240,M,+0305,1",,"99999,9,09662,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10284 20166 39662 49918 333 10305 58002=",
"43133099999","2023-07-30T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0264,1","+0196,1","10100,1",,,,,,,,,,"240,M,+0305,1","240,N,+0234,1","99999,9,09846,1","9,9,999,9,+002,1",,,"SYN07443133 32997 00000 10264 20196 39846 40100 333 10305 20234 58002 555 10178=",
"43133099999","2023-07-30T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0290,1","+0161,1","09920,1",,,,,,,,,,"240,M,+0310,1",,"99999,9,09664,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10290 20161 39664 49920 333 10310 58002=",
"43133099999","2023-07-31T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0270,1","+0193,1","10102,1",,,,,,,,,,"240,M,+0310,1","240,N,+0240,1","99999,9,09848,1","9,9,999,9,+002,1",,,"SYN07443133 32997 00000 10270 20193 39848 40102 333 10310 20240 58002 555 10178=",
"43133099999","2023-07-31T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0300,1","+0154,1","09922,1",,,,,,,,,,"240,M,+0330,1",,"99999,9,09666,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10300 20154 39666 49922 333 10330 58002=",
"43133099999","2023-08-01T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0260,1","+0199,1","10104,1","24,0230,3,1",,,,,"99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","06,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0330,1","240,N,+0230,1","99999,9,09850,1","9,9,999,9,+002,1",,,"SYN09243133 22997 60000 10260 20199 39850 40104 80008 333 10330 20230 58002 6023/ 555 00234 10201=","Q01    003SCCGA1"
"43133099999","2023-08-01T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0310,1","+0147,1","09924,1",,,,,,,,,,"240,M,+0340,1",,"99999,9,09668,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10310 20147 39668 49924 333 10340 58002=",
"43133099999","2023-08-02T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0264,1","+0179,1","10106,1",,,,,,,,,,"240,M,+0340,1","240,N,+0234,1","99999,9,09852,1","9,9,999,9,+002,1",,,"SYN07443133 32997 00000 10264 20179 39852 40106 333 10340 20234 58002 555 10201=",
"43133099999","2023-08-02T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0300,1","+0154,1","09926,1",,,,,,,,,,"240,M,+0330,1",,"99999,9,09670,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10300 20154 39670 49926 333 10330 58002=",
"43133099999","2023-08-03T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0290,1","+0181,1","10108,1",,,,,,,,,,"240,M,+0330,1","240,N,+0242,1","99999,9,09854,1","9,9,999,9,+002,1",,,"SYN07443133 32997 00000 10290 20181 39854 40108 333 10330 20242 58002 555 10201=",
"43133099999","2023-08-03T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0290,1","+0161,1","09928,1",,,,,,,,,,"240,M,+0320,1",,"99999,9,09672,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10290 20161 39672 49928 333 10320 58002=",
