"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","MA1","MD1","OC1","OD1","OD2","REM","EQD"
"01259099999","2023-11-19T09:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","070,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0012,1","-0059,1","10090,1","240,M,-0004,1","240,N,-0012,1","99999,9,10067,1","5,1,008,1,+999,9",,"3,99,0080,1,999",,"SYN07601259 46/// /0702 11012 21059 30067 40090 55008 333 11004 21012 90710 91108=",
"01259099999","2023-11-19T10:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","100,1,N,0030,1","99999,9,9,N","999999,9,9,9","-0005,1","-0054,1","10090,1","240,M,-0005,1","240,N,-0012,1","99999,9,10067,1","5,1,005,1,+999,9",,"3,99,0070,1,999",,"SYN07601259 46/// /1003 11005 21054 30067 40090 55005 333 11005 21012 90710 91107=",
"01259099999","2023-11-19T11:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","080,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0002,1","-0059,1","10086,1","240,M,+0000,1","240,N,-0005,1","99999,9,10063,1","8,1,003,1,+999,9",,"3,99,0070,1,999",,"SYN07601259 46/// /0802 11002 21059 30063 40086 58003 333 10000 21005 90710 91107=",
"01259099999","2023-11-19T12:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","070,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0008,1","-0063,1","10083,1","240,M,-0001,1","240,N,-0009,1","99999,9,10060,1","8,1,006,1,+999,9",,"3,99,0050,1,999",,"SYN07601259 46/// /0702 11008 21063 30060 40083 58006 333 11001 21009 90710 91105=",
"01259099999","2023-11-19T13:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","050,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0010,1","-0063,1","10080,1","240,M,-0004,1","240,N,-0012,1","99999,9,10057,1","7,1,010,1,+999,9",,"3,99,0060,1,999",,"SYN07601259 46/// /0501 11010 21063 30057 40080 57010 333 11004 21012 90710 91106=",
"01259099999","2023-11-19T14:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","030,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0023,1","-0070,1","10078,1","240,M,-0009,1","240,N,-0023,1","99999,9,10055,1","7,1,008,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /0302 11023 21070 30055 40078 57008 333 11009 21023 90710 91104=",
"01259099999","2023-11-19T15:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","030,1,N,0030,1","99999,9,9,N","999999,9,9,9","-0026,1","-0073,1","10078,1","240,M,-0020,1","240,N,-0027,1","99999,9,10055,1","5,1,005,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /0303 11026 21073 30055 40078 55005 333 11020 21027 90710 91104=",
"01259099999","2023-11-19T16:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","050,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0031,1","-0078,1","10079,1","240,M,-0026,1","240,N,-0033,1","99999,9,10056,1","7,9,001,9,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /0502 11031 21078 30056 40079 54001 333 11026 21033 90710 91104=","Q01.1    3APC3  Q024     3APCTEN"
"01259099999","2023-11-19T17:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","060,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0037,1","-0080,1","10082,1","240,M,-0026,1","240,N,-0038,1","99999,9,10058,1","2,1,003,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /0602 11037 21080 30058 40082 52003 333 11026 21038 90710 91104=",
"01259099999","2023-11-19T18:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","090,1,N,0030,1","99999,9,9,N","999999,9,9,9","-0028,1","-0078,1","10083,1","120,M,+0000,1","120,N,-0038,1","99999,9,10060,1","2,1,005,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /0903 11028 21078 30060 40083 52005 333 10000 21038 90710 91104=",
"01259099999","2023-11-19T19:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","050,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0027,1","-0081,1","10087,1","240,M,-0025,1","240,N,-0030,1","99999,9,10064,1","2,1,008,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /0502 11027 21081 30064 40087 52008 333 11025 21030 90710 91104=",
"01259099999","2023-11-19T20:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","060,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0030,1","-0086,1","10089,1","240,M,-0023,1","240,N,-0031,1","99999,9,10066,1","2,1,008,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /0602 11030 21086 30066 40089 52008 333 11023 21031 90710 91104=",
"01259099999","2023-11-19T21:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","080,1,N,0030,1","99999,9,9,N","999999,9,9,9","-0025,1","-0088,1","10091,1","240,M,-0022,1","240,N,-0030,1","99999,9,10068,1","2,1,008,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /0803 11025 21088 30068 40091 52008 333 11022 21030 90710 91104=",
"01259099999","2023-11-19T22:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","060,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0029,1","-0092,1","10093,1","240,M,-0025,1","240,N,-0032,1","99999,9,10070,1","2,1,007,1,+999,9",,"3,99,0030,1,999",,"SYN07601259 46/// /0602 11029 21092 30070 40093 52007 333 11025 21032 90710 91103=",
"01259099999","2023-11-19T23:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","060,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0030,1","-0091,1","10095,1","240,M,-0025,1","240,N,-0030,1","99999,9,10072,1","2,1,005,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /0602 11030 21091 30072 40095 52005 333 11025 21030 90710 91104=",
"01259099999","2023-11-20T00:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","070,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0038,1","-0086,1","10099,1","120,M,-0027,1","120,N,-0038,1","99999,9,10075,1","2,1,007,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /0702 11038 21086 30075 40099 52007 333 11027 21038 90710 91104=",
"01259099999","2023-11-20T01:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","070,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0031,1","-0092,1","10105,1","240,M,-0031,1","240,N,-0039,1","99999,9,10081,1","3,1,011,1,+999,9",,"3,99,0030,1,999",,"SYN07601259 46/// /0702 11031 21092 30081 40105 53011 333 11031 21039 90710 91103=",
"01259099999","2023-11-20T02:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","070,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0032,1","-0091,1","10109,1","240,M,-0028,1","240,N,-0033,1","99999,9,10085,1","2,1,012,1,+999,9",,"3,99,0050,1,999",,"SYN07601259 46/// /0702 11032 21091 30085 40109 52012 333 11028 21033 90710 91105=",
"01259099999","2023-11-20T03:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","070,1,N,0030,1","99999,9,9,N","999999,9,9,9","-0036,1","-0091,1","10111,1","240,M,-0031,1","240,N,-0039,1","99999,9,10087,1","1,1,012,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /0703 11036 21091 30087 40111 51012 333 11031 21039 90710 91104=",
"01259099999","2023-11-20T04:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","050,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0046,1","-0090,1","10115,1","240,M,-0032,1","240,N,-0046,1","99999,9,10091,1","2,1,010,1,+999,9",,"3,99,0050,1,999",,"SYN07601259 46/// /0502 11046 21090 30091 40115 52010 333 11032 21046 90710 91105=",
"01259099999","2023-11-20T05:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","050,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0039,1","-0096,1","10121,1","240,M,-0035,1","240,N,-0048,1","99999,9,10097,1","3,1,013,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /0501 11039 21096 30097 40121 53013 333 11035 21048 90710 91104=",
