"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AJ1","AY1","AY2","GA1","GE1","GF1","IA2","KA1","KA2","MA1","MD1","MW1","OC1","OD1","REM","EQD"
"52533099999","2023-11-17T09:00:00","4","39.7666667","98.4833333","1478.0","JIUQUAN SUZHOU, CH","FM-12","99999","V020","100,1,N,0020,1","99999,9,9,N","030000,1,9,9","+0091,1","-0170,1","10327,1","06,0000,9,1","12,0000,9,1","24,0000,9,1",,"0,1,02,1","0,1,02,1",,,,,"240,M,+0101,1","240,N,-0047,1","99999,9,08622,1","7,1,006,1,+999,9","00,1",,"3,99,0040,1,999","SYN11852533 04980 /1002 10091 21170 38622 40327 57006 60002 70000 333 10101 21047 3/111 54415 59021 60001 70000 90720 91104=",
"52533099999","2023-11-17T12:00:00","4","39.7666667","98.4833333","1478.0","JIUQUAN SUZHOU, CH","FM-12","99999","V020","220,1,N,0020,1","99999,9,9,N","016000,1,9,9","+0027,1","-0128,1","10352,1","06,0000,9,1","12,0000,9,1","24,0000,9,1",,"0,1,02,1","0,1,02,1",,,,,"240,M,+0093,1","240,N,-0047,1","99999,9,08623,1","2,1,001,1,-022,1","00,1",,"3,99,0040,1,999","SYN11252533 04966 /2202 10027 21128 38623 40352 52001 60002 70000 333 10093 21047 3/109 59022 60001 70000 90720 91104=",
"52533099999","2023-11-17T15:00:00","4","39.7666667","98.4833333","1478.0","JIUQUAN SUZHOU, CH","FM-12","99999","V020","230,1,N,0030,1","99999,9,9,N","014000,1,9,9","-0010,1","-0145,1","10330,1","06,0000,9,1","12,0000,9,1","24,0000,9,1",,,,,,,,"240,M,+0093,1","240,N,-0047,1","99999,9,08620,1","7,1,003,1,+999,9","00,1",,"3,99,0040,1,999","SYN11852533 04964 /2303 11010 21145 38620 40330 57003 60002 700// 333 10093 21047 3/108 54415 59023 60001 70000 90720 91104=",
"52533099999","2023-11-17T18:00:00","4","39.7666667","98.4833333","1478.0","JIUQUAN SUZHOU, CH","FM-12","99999","V020","240,1,N,0020,1","99999,9,9,N","028000,1,9,9","-0030,1","-0141,1","10317,1","06,0000,9,1","12,0000,9,1","24,0000,9,1",,"0,1,02,1","0,1,02,1",,,,,"120,M,+0093,1","120,N,-0047,1","99999,9,08610,1","7,1,010,1,+999,9","00,1",,"3,99,0040,1,999","SYN11852533 04978 /2402 11030 21141 38610 40317 57010 60002 70000 333 10093 21047 3/110 54415 59026 60001 70000 90720 91104=",
"52533099999","2023-11-17T21:00:00","4","39.7666667","98.4833333","1478.0","JIUQUAN SUZHOU, CH","FM-12","99999","V020","230,1,N,0020,1","99999,9,9,N","030000,1,9,9","-0042,1","-0161,1","10307,1","06,0000,9,1","12,0000,9,1","24,0000,9,1",,,,,,,,"240,M,+0093,1","240,N,-0047,1","99999,9,08601,1","7,1,009,1,+999,9","00,1",,"3,99,0050,1,999","SYN11852533 04980 /2302 11042 21161 38601 40307 57009 60002 700// 333 10093 21047 3/111 54415 59029 60001 70000 90720 91105=",
"52533099999","2023-11-18T00:00:00","4","39.7666667","98.4833333","1478.0","JIUQUAN SUZHOU, CH","FM-12","99999","V020","240,1,N,0040,1","99999,9,9,N","030000,1,9,9","-0049,1","-0153,1","10325,1","06,0000,9,1","12,0000,9,1","24,0000,9,1",,"0,1,02,1","0,1,02,1",,,,,"120,M,+0093,1","120,N,-0057,1","99999,9,08596,1","7,1,005,1,+999,9","00,1",,"3,99,0050,1,999","SYN11852533 04980 /2404 11049 21153 38596 40325 57005 60002 70000 333 10093 21057 3/113 54415 59040 60001 70000 90720 91105=",
"52533099999","2023-11-18T03:00:00","4","39.7666667","98.4833333","1478.0","JIUQUAN SUZHOU, CH","FM-12","99999","V020","240,1,N,0020,1","99999,9,9,N","024000,1,9,9","+0061,2","-0165,1","10301,1","06,0000,9,1","12,0000,9,1","24,0000,9,1",,"0,1,02,1","0,1,02,1",,,,,"240,M,+0093,1","240,N,-0057,1","99999,9,08597,1","2,1,001,1,-043,1","00,1",,"3,99,0050,1,999","SYN11252533 04974 /2402 10061 21165 38597 40301 52001 60002 70000 333 10093 21057 3/113 59043 60001 70000 90720 91105=",
"52533099999","2023-11-18T06:00:00","4","39.7666667","98.4833333","1478.0","JIUQUAN SUZHOU, CH","FM-12","99999","V020","070,1,N,0010,1","99999,9,9,N","030000,1,9,9","+0120,1","-0176,1","10268,1","06,0000,9,1","12,0000,9,1","24,0000,9,1",,"0,1,02,1","0,1,02,1",,,,,"240,M,+0120,1","240,N,-0057,1","99999,9,08580,1","7,1,017,1,+999,9","00,1",,"3,99,0050,1,999","SYN11852533 04980 /0701 10120 21176 38580 40268 57017 60002 70000 333 10120 21057 3/113 54405 59048 60001 70000 90720 91105=",
"52533099999","2023-11-18T09:00:00","4","39.7666667","98.4833333","1478.0","JIUQUAN SUZHOU, CH","FM-12","99999","V020","100,1,N,0020,1","99999,9,9,N","030000,1,9,9","+0117,1","-0149,1","10262,1","06,0000,9,1","12,0000,9,1","24,0000,9,1",,"0,1,02,1","0,1,02,1",,,,,"240,M,+0123,1","240,N,-0057,1","99999,9,08571,1","7,1,009,1,+999,9","00,1",,"3,99,0050,1,999","SYN11852533 04980 /1002 10117 21149 38571 40262 57009 60002 70000 333 10123 21057 3/113 54405 59051 60001 70000 90720 91105=",
"52533099999","2023-11-18T12:00:00","4","39.7666667","98.4833333","1478.0","JIUQUAN SUZHOU, CH","FM-12","99999","V020","230,1,N,0030,1","99999,9,9,N","007000,1,9,9","+0028,1","-0131,1","10295,1","06,0000,9,1","12,0000,9,1","24,0000,9,1",,"0,1,02,1","0,1,02,1",,,,,"240,M,+0123,1","240,N,-0057,1","99999,9,08571,1","4,1,000,1,-052,1","00,1",,"3,99,0040,1,999","SYN11252533 04957 /2303 10028 21131 38571 40295 54000 60002 70000 333 10123 21057 3/112 59052 60001 70000 90720 91104=",
