"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"47553099999","2023-01-02T00:24:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","260,1,N,0036,1","00122,1,C,N","000600,1,9,9","-0010,1","-0010,1","99999,9","01,U,9999,9","02,1,+00091,1,99,9","04,1,+00122,1,99,9","07,1,+00244,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00091,1,99,9,99,9","10190,1,99999,9","86,1",,,,"MET118SPECI RJSC 020024Z 26007KT 0600 R01/1200V1900D SHSN FEW003 SCT004 BKN008 M01/M01 Q1019 RMK 1ST003 4ST004 6ST008 A3010=",
"47553099999","2023-01-02T00:30:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","270,1,V,0036,1","00122,1,C,N","001300,1,9,9","-0010,1","-0010,1","99999,9","01,U,9999,9","02,1,+00091,1,99,9","04,1,+00122,1,99,9","07,1,+00244,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00091,1,99,9,99,9","10190,1,99999,9","85,1",,,,"MET127SPECI RJSC 020030Z 27007KT 230V310 1300 R01/1000V2000N -SHSN FEW003 SCT004 BKN008 M01/M01 Q1019 RMK 1ST003 4ST004 6ST008 A3010=",
"47553099999","2023-01-02T00:39:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","280,1,V,0026,1","00213,1,C,N","002000,1,9,9","-0010,1","-0010,1","99999,9","01,U,9999,9","02,1,+00091,1,99,9","04,1,+00213,1,99,9","07,1,+00366,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00091,1,99,9,99,9","10190,1,99999,9","85,1",,,,"MET128SPECI RJSC 020039Z 28005KT 250V310 2000 R01/1300VP2000U -SHSN FEW003 SCT007 BKN012 M01/M01 Q1019 RMK 1ST003 3ST007 6ST012 A3010=",
"47553099999","2023-01-02T01:00:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-15","99999","V020","290,1,N,0026,1","00152,1,C,N","000600,1,9,9","-0010,1","-0010,1","99999,9","01,U,9999,9","02,1,+00091,1,99,9","04,1,+00152,1,99,9","07,1,+00244,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00091,1,99,9,99,9","10190,1,99999,9","86,1",,,,"MET119METAR RJSC 020100Z 29005KT 0600 R01/0900VP2000D SHSN FEW003 SCT005 BKN008 M01/M01 Q1019 RMK 1ST003 4ST005 7ST008 A3010=",
"47553099999","2023-01-02T01:27:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","300,1,V,0021,1","00122,1,C,N","001300,1,9,9","-0010,1","-0010,1","99999,9","01,U,9999,9","02,1,+00061,1,99,9","04,1,+00122,1,99,9","07,1,+00244,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00061,1,99,9,99,9","10190,1,99999,9","85,1",,,,"MET128SPECI RJSC 020127Z 30004KT 230V020 1300 R01/0800VP2000U -SHSN FEW002 SCT004 BKN008 M01/M01 Q1019 RMK 1ST002 4ST004 7ST008 A3009=",
"47553099999","2023-01-02T02:00:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-15","99999","V020","020,1,N,0026,1","00152,1,C,N","006000,1,9,9","-0010,1","-0010,1","99999,9",,"02,1,+00091,1,99,9","04,1,+00152,1,99,9","07,1,+00305,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00091,1,99,9,99,9","10180,1,99999,9","85,1",,,,"MET104METAR RJSC 020200Z 02005KT 6000 -SHSN FEW003 SCT005 BKN010 M01/M01 Q1018 RMK 1ST003 4ST005 7ST010 A3008=",
"47553099999","2023-01-02T02:23:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","020,1,N,0031,1","00152,1,C,N","001800,1,9,9","-0010,1","-0020,1","99999,9",,"02,1,+00091,1,99,9","04,1,+00152,1,99,9","07,1,+00305,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00091,1,99,9,99,9","10180,1,99999,9","85,1",,,,"MET104SPECI RJSC 020223Z 02006KT 1800 -SHSN FEW003 SCT005 BKN010 M01/M02 Q1018 RMK 1ST003 4ST005 7ST010 A3008=",
"47553099999","2023-01-02T02:36:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","030,1,V,0021,1","00213,1,C,N","005000,1,9,9","-0010,1","-0020,1","99999,9","01,U,9999,9","02,1,+00122,1,99,9","04,1,+00213,1,99,9","07,1,+00366,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00122,1,99,9,99,9","10180,1,99999,9","85,1",,,,"MET128SPECI RJSC 020236Z 03004KT 350V060 5000 R01/1300VP2000U -SHSN FEW004 SCT007 BKN012 M01/M02 Q1018 RMK 1ST004 3ST007 6ST012 A3007=",
"47553099999","2023-01-02T03:00:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-15","99999","V020","010,1,N,0031,1","00244,1,C,N","007000,1,9,9","-0010,1","-0020,1","99999,9",,"02,1,+00122,1,99,9","04,1,+00244,1,99,9","07,1,+00457,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00122,1,99,9,99,9","10180,1,99999,9","85,1",,,,"MET104METAR RJSC 020300Z 01006KT 7000 -SHSN FEW004 SCT008 BKN015 M01/M02 Q1018 RMK 1ST004 4ST008 6CU015 A3006=",
"47553099999","2023-01-02T03:20:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","350,1,V,0031,1","00244,1,C,N","004000,1,9,9","+0000,1","-0020,1","99999,9",,"02,1,+00122,1,99,9","04,1,+00244,1,99,9","07,1,+00366,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00122,1,99,9,99,9","10180,1,99999,9","85,1",,,,"MET112SPECI RJSC 020320Z 35006KT 300V040 4000 -SHSN FEW004 SCT008 BKN012 M00/M02 Q1018 RMK 1ST004 4ST008 6ST012 A3006=",
