"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","GA1","GA2","GE1","GF1","KA1","MA1","MD1","MW1","REM","EQD"
"42860099999","2023-01-13T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","230,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0254,1","+0107,1","10072,1",,,,,,,,"240,M,+0267,1","99999,9,09357,1","9,9,999,9,+006,1",,"SYN05842860 32997 02301 10254 20107 39357 40072 333 10267 58006=",
"42860099999","2023-01-14T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","320,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0126,1","+0115,1","10149,1",,"4,1,02,1","3,1,02,1",,,,,"240,N,+0112,1","99999,9,09397,1","9,9,999,9,+009,1","42,1","SYN07442860 31996 03201 10126 20115 39397 40149 74243 333 20112 58009 555 10000=",
"42860099999","2023-01-14T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","320,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0224,1","+0097,1","10096,1",,,,,,,,"240,M,+0242,1","99999,9,09372,1","9,9,999,9,+018,1",,"SYN05842860 32997 03201 10224 20097 39372 40096 333 10242 58018=",
"42860099999","2023-01-15T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","320,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0104,1","+0093,1","10154,1",,"4,1,02,1","3,1,02,1",,,,,"240,N,+0090,1","99999,9,09397,1","9,9,999,9,+000,1","42,1","SYN07442860 31996 03201 10104 20093 39397 40154 74243 333 20090 58000 555 10000=",
"42860099999","2023-01-15T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","050,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0228,1","+0107,1","10086,1",,,,,,,,"240,M,+0228,1","99999,9,09360,1","9,9,999,9,-010,1",,"SYN05842860 32997 00501 10228 20107 39360 40086 333 10228 59010=",
"42860099999","2023-01-16T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","090,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0122,1","+0100,1","10150,1",,"4,1,02,1","3,1,02,1",,,,,"240,N,+0097,1","99999,9,09398,1","9,9,999,9,+001,1","42,1","SYN07442860 31996 00901 10122 20100 39398 40150 74243 333 20097 58001 555 10000=",
"42860099999","2023-01-16T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","050,1,N,0005,1","22000,1,9,N","004000,1,9,9","+0234,1","+0150,1","10082,1",,,,"04,1,+99999,9,02,1",,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,99999,9,99,9,99,9","240,M,+0255,1","99999,9,09361,1","9,9,999,9,+001,1",,"SYN06442860 32996 40501 10234 20150 39361 40082 84006 333 10255 58001=",
"42860099999","2023-01-17T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","050,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0134,1","+0113,1","10140,1",,,,"08,1,+01250,1,07,1",,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,01250,1,99,9,99,9","240,N,+0112,1","99999,9,09394,1","9,9,999,9,-004,1",,"SYN07442860 32696 80501 10134 20113 39394 40140 887// 333 20112 59004 555 10000=",
"42860099999","2023-01-17T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","320,1,N,0005,1","22000,1,9,N","004000,1,9,9","+0222,1","+0132,1","10084,1",,,,"04,1,+99999,9,02,1",,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,99999,9,99,9,99,9","240,M,+0248,1","99999,9,09361,1","9,9,999,9,+000,1",,"SYN06442860 32996 43201 10222 20132 39361 40084 84005 333 10248 58000=",
"42860099999","2023-01-18T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","320,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0116,1","+0101,1","10173,1",,"4,1,02,1","3,1,02,1",,,,,"240,N,+0095,1","99999,9,09417,1","9,9,999,9,+023,1","42,1","SYN07442860 31996 03201 10116 20101 39417 40173 74243 333 20095 58023 555 10000=",
