"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AW1","AZ1","AZ2","IA2","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"11051099999","2023-01-02T13:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","040,1,N,0010,1","99999,9,9,9","999999,9,9,9","+0092,1","+0048,1","10212,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09740,1","5,1,007,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T14:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","340,1,N,0010,1","99999,9,9,9","999999,9,9,9","+0092,1","+0051,1","10216,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09744,1","5,1,000,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T15:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","280,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0080,1","+0051,1","10228,1",,,,,,,,"99999,9,09753,1","3,1,013,1,+999,9",,,"SYN05811051 35/// /2801 10080 20051 39753 40228 53013 333 55300=",
"11051099999","2023-01-02T16:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,9","999999,9,9,9","+0065,1","+0045,1","10238,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09760,1","3,1,020,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T17:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,9","999999,9,9,9","+0051,1","+0039,1","10246,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09766,1","3,1,022,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T18:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","180,1,N,0010,1","99999,9,9,9","999999,9,9,9","+0047,1","+0036,1","10252,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,"120,M,+0097,1","120,N,-0008,1","99999,9,09771,1","2,1,018,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T19:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","280,1,N,0010,1","99999,9,9,9","999999,9,9,9","+0037,1","+0028,1","10259,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09776,1","3,1,016,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T20:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","180,1,N,0010,1","99999,9,9,9","999999,9,9,9","+0040,1","+0029,1","10264,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09781,1","3,1,015,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T21:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","250,1,N,0010,1","99999,9,9,9","999999,9,9,9","+0040,1","+0032,1","10270,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09786,1","2,1,015,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T22:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","260,1,N,0010,1","99999,9,9,9","999999,9,9,9","+0045,1","+0037,1","10272,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09789,1","1,1,013,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T23:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","250,1,N,0030,1","99999,9,9,9","999999,9,9,9","+0050,1","+0039,1","10274,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09792,1","1,1,011,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-03T00:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","260,1,N,0020,1","99999,9,9,9","999999,9,9,9","+0065,1","+0042,1","10274,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09795,1","3,1,009,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-03T01:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","250,1,N,0020,1","99999,9,9,9","999999,9,9,9","+0067,1","+0046,1","10278,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09799,1","3,1,010,1,+999,9",,,"SYN004BUFR",
