"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM"
"47852099999","2023-01-02T06:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","320,1,V,0046,1","99999,9,9,N","009999,1,9,9","+0110,1","-0020,1","99999,9",,"02,1,+01219,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10230,1,99999,9",,,,,"MET077METAR RJFO 020600Z 32009KT 270V350 9999 FEW040 11/M02 Q1023 RMK 1CU040 A3021="
"47852099999","2023-01-02T07:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","310,1,V,0057,1","99999,9,9,N","009999,1,9,9","+0100,1","-0030,1","99999,9",,"02,1,+01219,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10230,1,99999,9",,,,,"MET077METAR RJFO 020700Z 31011KT 280V350 9999 FEW040 10/M03 Q1023 RMK 1CU040 A3023="
"47852099999","2023-01-02T08:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","320,1,V,0057,1","99999,9,9,N","009999,1,9,9","+0090,1","-0030,1","99999,9",,"02,1,+01219,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10240,1,99999,9",,,,,"MET077METAR RJFO 020800Z 32011KT 290V350 9999 FEW040 09/M03 Q1024 RMK 1CU040 A3025="
"47852099999","2023-01-02T09:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","330,1,V,0021,1","99999,9,9,N","009999,1,9,9","+0070,1","-0020,1","99999,9",,"02,1,+01219,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10240,1,99999,9",,,,,"MET077METAR RJFO 020900Z 33004KT 300V010 9999 FEW040 07/M02 Q1024 RMK 1CU040 A3026="
"47852099999","2023-01-02T10:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","320,1,V,0036,1","99999,9,9,N","009999,1,9,9","+0070,1","-0030,1","99999,9",,"02,1,+01219,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10250,1,99999,9",,,,,"MET077METAR RJFO 021000Z 32007KT 290V350 9999 FEW040 07/M03 Q1025 RMK 1CU040 A3028="
"47852099999","2023-01-02T11:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","320,1,N,0015,1","99999,9,9,Y","009900,5,9,9","+0060,1","-0030,1","99999,9",,,,,,,,"10250,1,99999,9",,,,,"MET056METAR RJFO 021100Z 32003KT CAVOK 06/M03 Q1025 RMK A3029="
"47852099999","2023-01-02T12:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","300,1,N,0026,1","99999,9,9,Y","009900,5,9,9","+0060,1","-0020,1","99999,9",,,,,,,,"10260,1,99999,9",,,,,"MET056METAR RJFO 021200Z 30005KT CAVOK 06/M02 Q1026 RMK A3031="
"47852099999","2023-01-02T13:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","330,1,N,0026,1","99999,9,9,Y","009900,5,9,9","+0050,1","-0020,1","99999,9",,,,,,,,"10250,1,99999,9",,,,,"MET056METAR RJFO 021300Z 33005KT CAVOK 05/M02 Q1025 RMK A3029="
"47852099999","2023-01-02T22:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","250,1,N,0026,1","99999,9,9,N","009999,1,9,9","+0020,1","-0030,1","99999,9",,"02,1,+00762,1,99,9","07,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00762,1,99,9,99,9","10250,1,99999,9",,,,,"MET076METAR RJFO 022200Z 25005KT 9999 FEW025 BKN/// 02/M03 Q1025 RMK 1CU025 A3029="
"47852099999","2023-01-02T23:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","230,1,V,0015,1","01524,1,C,N","009999,1,9,9","+0040,1","-0030,1","99999,9",,"02,1,+00762,1,99,9","04,1,+01524,1,99,9","07,1,+99999,9,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00762,1,99,9,99,9","10250,1,99999,9",,,,,"MET098METAR RJFO 022300Z 23003KT 210V270 9999 FEW025 SCT050 BKN/// 04/M03 Q1025 RMK 1CU025 3SC050 A3029="
