"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AJ1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GE1","GF1","IA1","KA1","MA1","MD1","MW1","OD1","OD2","REM","EQD"
"33301099999","2023-01-03T18:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","280,1,N,0040,1","99999,9,9,N","010000,1,9,9","+0051,1","+0026,1","10254,1",,,,,,,"06,1,+00800,1,06,1",,,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,00800,1,99,9,99,9",,"120,M,+0081,1","99999,9,09969,1","2,1,010,1,+999,9",,,,"SYN07433301 32560 62804 10051 20026 39969 40254 52010 86500 333 10081 555 1/003=",
"33301099999","2023-01-03T21:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","290,1,N,0030,1","99999,9,9,9","010000,1,9,9","+0016,1","-0002,1","10266,1",,,,,"0,1,99,9","0,1,99,9","02,1,+00800,1,06,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","06,99,1,02,1,99,9,00800,1,99,9,99,9",,,"99999,9,09977,1","2,1,008,1,+999,9",,,,"SYN004BUFR",
"33301099999","2023-01-04T00:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","270,1,N,0040,1","99999,9,9,N","010000,1,9,9","+0012,1","-0014,1","10271,1",,,,,,,"06,1,+99999,9,03,1",,,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,99999,9,99,9,99,9",,,"99999,9,09981,1","2,1,004,1,+999,9",,,,"SYN06433301 32960 62704 10012 21014 39981 40271 52004 86030 555 1/000=",
"33301099999","2023-01-04T03:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","260,1,N,0050,1","04000,1,C,9","010000,1,9,9","+0010,1","-0006,1","10274,1",,,,,"0,1,99,9","0,1,99,9","06,1,+04000,1,03,1",,,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,04000,1,99,9,99,9",,,"99999,9,09984,1","2,1,003,1,+999,9",,,,"SYN004BUFR",
"33301099999","2023-01-04T06:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","260,1,N,0060,1","99999,9,9,N","010000,1,9,9","+0012,1","-0010,1","10277,1",,,,,,,"02,1,+00800,1,06,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","07,99,1,02,1,99,9,00800,1,99,9,99,9",,"240,N,+0005,1","99999,9,09987,1","2,1,003,1,+999,9",,,,"SYN07433301 32560 72606 10012 21010 39987 40277 52003 82530 333 20005 555 11000=",
"33301099999","2023-01-04T09:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","260,1,N,0050,1","99999,9,9,N","010000,1,9,9","+0012,1","-0009,1","10281,1",,,,,,,"03,1,+00800,1,06,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","07,99,1,03,1,99,9,00800,1,99,9,99,9",,,"99999,9,09991,1","2,1,004,1,+999,9",,,,"SYN06433301 42560 72605 10012 21009 39991 40281 52004 83530 555 1/002=",
"33301099999","2023-01-04T12:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","260,1,N,0060,1","99999,9,9,N","010000,1,9,9","+0023,1","-0022,1","10266,1",,,,,,,"05,1,+00800,1,06,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","08,99,1,05,1,99,9,00800,1,99,9,99,9",,,"99999,9,09977,1","8,1,014,1,+999,9",,,,"SYN06433301 32560 82606 10023 21022 39977 40266 58014 8555/ 555 1/003=",
"33301099999","2023-01-04T15:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","210,1,N,0030,1","22000,1,9,N","010000,1,9,9","-0009,1","-0034,1","10245,1",,,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","04,99,1,00,1,99,9,99999,9,99,9,99,9",,,"99999,9,09953,1","7,1,024,1,+999,9",,,,"SYN06433301 42960 42103 11009 21034 39953 40245 57024 80001 555 1/100=","Q01    003SCCGA1"
"33301099999","2023-01-04T18:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","160,1,N,0020,1","99999,9,9,N","010000,1,9,9","-0002,1","-0023,1","10205,1",,,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","07,99,1,00,1,99,9,99999,9,99,9,99,9",,"120,M,+0030,1","99999,9,09915,1","8,1,038,1,+999,9",,,,"SYN07433301 32960 71602 11002 21023 39915 40205 58038 80001 333 10030 555 1/000=","Q01    003SCCGA1"
"33301099999","2023-01-04T21:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","200,1,N,0060,1","99999,9,9,N","010000,1,9,9","+0020,1","-0014,1","10159,1",,,,,,,"08,1,+99999,9,03,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,99999,9,99,9,99,9",,,"99999,9,09873,1","7,1,042,1,+999,9",,,,"SYN06433301 42960 82006 10020 21014 39873 40159 57042 8805/ 555 1/000=",
"33301099999","2023-01-05T03:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","240,1,N,0090,1","99999,9,9,N","010000,1,9,9","+0047,1","+0034,1","10073,1",,,"6,1,02,1","6,1,02,1",,,"07,1,+00450,1,07,1","99,9,+99999,9,05,1",,"9,AGL   ,+99999,+99999","08,99,1,07,1,99,9,00450,1,99,9,99,9",,,"99999,9,09792,1","6,1,036,1,+999,9","61,1",,,"SYN07033301 41460 82409 10047 20034 39792 40073 56036 76166 8772/ 555 1/004=",
"33301099999","2023-01-05T06:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","250,1,N,0120,1","99999,9,9,N","010000,1,9,9","+0064,1","+0044,1","10044,1","12,0009,3,1",,"8,1,02,1","6,1,02,1",,,"08,1,+00250,1,09,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00250,1,99,9,99,9",,"240,N,-0002,1","99999,9,09766,1","7,1,026,1,+999,9","80,1",,,"SYN08633301 11360 82512 10064 20044 39766 40044 57026 69992 78086 883// 333 21002 555 11005=",
"33301099999","2023-01-05T09:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","250,1,N,0090,1","99999,9,9,N","010000,1,9,9","+0060,1","+0053,1","10033,1",,,"8,1,02,1","2,1,02,1",,,"08,1,+00250,1,09,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00250,1,99,9,99,9",,,"99999,9,09755,1","6,1,011,1,+999,9","80,1",,,"SYN07033301 41360 82509 10060 20053 39755 40033 56011 78082 883// 555 1/005=",
"33301099999","2023-01-05T15:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","300,1,N,0070,1","99999,9,9,N","010000,1,9,9","+0057,1","+0042,1","10036,1",,,"8,1,02,1","2,1,02,1",,,"08,1,+00450,1,09,1",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00450,1,99,9,99,9",,,"99999,9,09757,1","3,1,008,1,+999,9","80,1",,,"SYN07033301 41460 83007 10057 20042 39757 40036 53008 78082 883// 555 1/005=",
"33301099999","2023-01-05T18:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","280,1,N,0070,1","99999,9,9,N","010000,1,9,9","+0056,1","+0041,1","10042,1","12,0070,3,1",,"8,1,02,1","2,1,02,1",,,"05,1,+00800,1,09,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","07,99,1,05,1,99,9,00800,1,99,9,99,9",,"120,M,+0077,1","99999,9,09763,1","2,1,006,1,+999,9","02,1",,,"SYN08633301 11560 72807 10056 20041 39763 40042 52006 60072 70282 85330 333 10077 555 1/005=",
