"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","KA1","MA1","MD1","OD1","REM","EQD"
"06664099999","2023-01-02T09:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0046,1","+0038,1","10237,1","01,0000,9,1",,,,"99999,9,09696,1","3,1,011,1,+999,9","3,99,0015,1,999","SYN08806664 16/// /2100 10046 20038 39696 40237 53011 60005 333 54/05 55300 20212 90730 91103=",
"06664099999","2023-01-02T10:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0070,1","+0055,1","10237,1","01,0000,9,1",,,,"99999,9,09701,1","3,1,014,1,+999,9","3,99,0005,1,999","SYN08806664 16/// /3400 10070 20055 39701 40237 53014 60005 333 54/05 55300 20439 90710 91101=",
"06664099999","2023-01-02T11:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","070,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0085,1","+0071,1","10231,1","01,0000,9,1",,,,"99999,9,09698,1","9,9,007,1,+999,9","3,99,0021,1,999","SYN08806664 16/// /0703 10085 20071 39698 40231 50007 60005 333 54/05 55300 20590 90710 91104=",
"06664099999","2023-01-02T12:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","270,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0124,1","+0039,1","10225,1","01,0000,9,1","06,0000,9,1",,,"99999,9,09700,1","9,9,004,1,+999,9","3,99,0072,1,999","SYN09406664 06/// /2706 10124 20039 39700 40225 50004 60001 333 54/09 55302 20486 60005 90760 91114=",
"06664099999","2023-01-02T13:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","270,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0145,1","+0034,1","10223,1","01,0000,9,1",,,,"99999,9,09702,1","5,1,001,1,+999,9","3,99,0046,1,999","SYN08806664 16/// /2703 10145 20034 39702 40223 55001 60005 333 54/05 55310 20853 90710 91109=",
"06664099999","2023-01-02T14:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","280,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0143,1","+0034,1","10228,1","01,0000,9,1",,,,"99999,9,09706,1","2,1,008,1,+999,9","3,99,0036,1,999","SYN08206664 16/// /2803 10143 20034 39706 40228 52008 60005 333 55306 20446 90710 91107=",
"06664099999","2023-01-02T15:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","220,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0113,1","+0045,1","10241,1","01,0000,9,1",,,,"99999,9,09713,1","3,1,013,1,+999,9","3,99,0046,1,999","SYN08806664 16/// /2202 10113 20045 39713 40241 53013 60005 333 54/15 55302 20220 90730 91109=",
"06664099999","2023-01-02T16:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","290,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0110,1","+0049,1","10251,1","01,0000,9,1",,,,"99999,9,09722,1","3,1,020,1,+999,9","3,99,0015,1,999","SYN08206664 16/// /2901 10110 20049 39722 40251 53020 60005 333 55300 20025 90710 91103=",
"06664099999","2023-01-02T17:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","270,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0099,1","+0054,1","10263,1","01,0000,9,1",,,,"99999,9,09731,1","2,1,025,1,+999,9","3,99,0021,1,999","SYN08806664 16/// /2701 10099 20054 39731 40263 52025 60005 333 54/15 55300 20004 90710 91104=",
"06664099999","2023-01-02T18:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","190,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0094,1","+0055,1","10268,1","01,0000,9,1","12,0000,9,1",,"120,M,+0145,1","99999,9,09735,1","1,1,022,1,+999,9","3,99,0046,1,999","SYN10006664 06/// /1903 10094 20055 39735 40268 51022 60002 333 10145 54/15 55300 20004 60005 90760 91109=",
"06664099999","2023-01-02T19:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","260,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0112,1","+0056,1","10266,1","01,0000,9,1",,,,"99999,9,09736,1","1,1,014,1,+999,9","3,99,0051,1,999","SYN08806664 16/// /2604 10112 20056 39736 40266 51014 60005 333 54/05 55300 20004 90710 91110=",
"06664099999","2023-01-02T20:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","260,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0099,1","+0069,1","10278,1","01,0000,9,1",,,,"99999,9,09745,1","3,1,014,1,+999,9","3,99,0036,1,999","SYN08806664 16/// /2604 10099 20069 39745 40278 53014 60005 333 54/15 55300 20004 90710 91107=",
"06664099999","2023-01-02T21:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","270,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0094,1","+0079,1","10283,1","01,0002,3,1",,,,"99999,9,09749,1","2,1,014,1,+999,9","3,99,0051,1,999","SYN08206664 16/// /2703 10094 20079 39749 40283 52014 69925 333 55300 20004 90730 91110=",
"06664099999","2023-01-02T22:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","250,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0088,1","+0073,1","10292,1","01,0008,3,1",,,,"99999,9,09756,1","3,1,020,1,+999,9","3,99,0041,1,999","SYN08806664 16/// /2505 10088 20073 39756 40292 53020 69985 333 54/15 55300 20004 90710 91108=",
"06664099999","2023-01-02T23:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","270,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0080,1","+0063,1","10299,1","01,0005,3,1",,,,"99999,9,09761,1","1,1,016,1,+999,9","3,99,0046,1,999","SYN08806664 16/// /2702 10080 20063 39761 40299 51016 69955 333 54/15 55300 20004 90710 91109=",
"06664099999","2023-01-03T00:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","300,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0078,1","+0062,1","10301,1","01,0003,3,1","06,0020,3,1",,,"99999,9,09763,1","1,1,014,1,+999,9","3,99,0051,1,999","SYN09406664 06/// /3003 10078 20062 39763 40301 51014 60021 333 54/15 55300 20004 69935 90760 91110=",
"06664099999","2023-01-03T01:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","240,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0074,1","+0055,1","10300,1","01,0002,3,1",,,,"99999,9,09761,1","2,1,005,1,+999,9","3,99,0026,1,999","SYN08206664 16/// /2401 10074 20055 39761 40300 52005 69925 333 55300 20004 90710 91105=",
"06664099999","2023-01-03T02:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","220,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0068,1","+0062,1","10302,1","01,0000,9,1",,,,"99999,9,09762,1","9,9,001,1,+999,9","3,99,0010,1,999","SYN08806664 16/// /2201 10068 20062 39762 40302 50001 60005 333 54/15 55300 20004 90710 91102=",
"06664099999","2023-01-03T03:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0069,1","+0063,1","10301,1","01,0002,3,1",,,,"99999,9,09761,1","7,1,002,1,+999,9","3,99,0026,1,999","SYN08806664 16/// /0400 10069 20063 39761 40301 57002 69925 333 54/15 55300 20004 90730 91105=",
"06664099999","2023-01-03T04:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","170,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0066,1","+0062,1","10300,1","01,0003,3,1",,,,"99999,9,09760,1","7,1,001,1,+999,9","3,99,0015,1,999","SYN08206664 16/// /1701 10066 20062 39760 40300 57001 69935 333 55300 20004 90710 91103=",
"06664099999","2023-01-03T05:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0066,1","+0060,1","10300,1","01,0003,3,1",,,,"99999,9,09760,1","7,1,002,1,+999,9","3,99,0010,1,999","SYN08206664 16/// /0000 10066 20060 39760 40300 57002 69935 333 55300 20004 90710 91102=",
"06664099999","2023-01-03T06:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0068,1","+0062,1","10305,1","01,0010,3,1","12,0040,3,1","24,0040,3,1","240,N,+0063,1","99999,9,09765,1","3,1,004,1,+999,9","3,99,0026,1,999","SYN11806664 06/// /2100 10068 20062 39765 40305 53004 60042 333 20063 3/006 54/15 55020 55300 20004 60015 70040 90760 91105=",
"06664099999","2023-01-03T07:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0067,1","+0062,1","10311,1","01,0007,3,1",,,,"99999,9,09770,1","2,1,010,1,+999,9","3,99,0005,1,999","SYN08206664 16/// /0000 10067 20062 39770 40311 52010 69975 333 55300 20004 90710 91101=",
"06664099999","2023-01-03T08:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0066,1","+0062,1","10314,1","01,0002,3,1",,,,"99999,9,09773,1","2,1,013,1,+999,9","3,99,0010,1,999","SYN08206664 16/// /0000 10066 20062 39773 40314 52013 69925 333 55300 20018 90710 91102=",
"06664099999","2023-01-03T09:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0072,1","+0066,1","10318,1","01,0001,3,1",,,,"99999,9,09778,1","1,1,013,1,+999,9","3,99,0010,1,999","SYN08206664 16/// /0000 10072 20066 39778 40318 51013 69915 333 55300 20094 90730 91102=",
"06664099999","2023-01-03T10:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","240,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0072,1","+0066,1","10323,1","01,0008,3,1",,,,"99999,9,09783,1","3,1,013,1,+999,9","3,99,0005,1,999","SYN08206664 16/// /2401 10072 20066 39783 40323 53013 69985 333 55300 20151 90710 91101=",
"06664099999","2023-01-03T11:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0075,1","+0063,1","10320,1","01,0001,3,1",,,,"99999,9,09780,1","2,1,007,1,+999,9","3,99,0005,1,999","SYN08206664 16/// /2400 10075 20063 39780 40320 52007 69915 333 55300 20284 90710 91101=",
"06664099999","2023-01-03T12:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","280,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0077,1","+0062,1","10317,1","01,0005,3,1","06,0020,3,1",,,"99999,9,09778,1","9,9,000,1,+999,9","3,99,0010,1,999","SYN09406664 06/// /2801 10077 20062 39778 40317 50000 60021 333 54/05 55300 20252 69955 90760 91102=",
"06664099999","2023-01-03T13:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","260,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0079,1","+0065,1","10315,1","01,0002,3,1",,,,"99999,9,09776,1","7,1,007,1,+999,9","3,99,0015,1,999","SYN08206664 16/// /2601 10079 20065 39776 40315 57007 69925 333 55300 20295 90710 91103=",
"06664099999","2023-01-03T14:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","260,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0079,1","+0063,1","10315,1","01,0000,9,1",,,,"99999,9,09776,1","7,1,004,1,+999,9","3,99,0010,1,999","SYN08206664 16/// /2601 10079 20063 39776 40315 57004 60005 333 55300 20191 90710 91102=",
"06664099999","2023-01-03T15:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","170,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0078,1","+0068,1","10317,1","01,0000,9,1",,,,"99999,9,09778,1","4,9,000,1,+999,9","3,99,0015,1,999","SYN08206664 16/// /1701 10078 20068 39778 40317 53000 60005 333 55300 20072 90730 91103=","Q013     3APCTEN"
