"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","REM"
"99400899999","2023-06-09T17:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","280,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0275,1","+0221,1","10110,1","9,9,000,1,+999,9","5,99,0046,1,999","SYN058FHPF1 46/// /2807 10275 20221 40110 50000 91700 333 91209="
"99400899999","2023-06-09T18:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","300,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0283,1","+0223,1","10108,1","8,1,005,1,+999,9","5,99,0046,1,999","SYN058FHPF1 46/// /3007 10283 20223 40108 58005 91800 333 91209="
"99400899999","2023-06-09T19:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","270,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0278,1","+0223,1","10100,1","8,1,014,1,+999,9","5,99,0051,1,999","SYN058FHPF1 46/// /2708 10278 20223 40100 58014 91900 333 91210="
"99400899999","2023-06-09T20:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","280,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0282,1","+0222,1","10097,1","8,1,014,1,+999,9","5,99,0062,1,999","SYN058FHPF1 46/// /2809 10282 20222 40097 58014 92000 333 91212="
"99400899999","2023-06-09T21:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","290,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0284,1","+0225,1","10101,1","5,1,007,1,+999,9","5,99,0077,1,999","SYN058FHPF1 46/// /2911 10284 20225 40101 55007 92100 333 91215="
"99400899999","2023-06-09T22:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","290,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0286,1","+0227,1","10105,1","3,1,005,1,+999,9","5,99,0072,1,999","SYN058FHPF1 46/// /2911 10286 20227 40105 53005 92200 333 91214="
"99400899999","2023-06-09T23:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","310,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0285,1","+0230,1","10102,1","9,9,005,1,+999,9","5,99,0062,1,999","SYN058FHPF1 46/// /3110 10285 20230 40102 50005 92300 333 91212="
"99400899999","2023-06-10T00:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","320,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0279,1","+0231,1","10104,1","1,1,004,1,+999,9","5,99,0062,1,999","SYN058FHPF1 46/// /3209 10279 20231 40104 51004 90000 333 91212="
"99400899999","2023-06-10T01:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","330,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0277,1","+0234,1","10104,1","5,1,000,1,+999,9","5,99,0062,1,999","SYN058FHPF1 46/// /3310 10277 20234 40104 55000 90100 333 91212="
"99400899999","2023-06-10T02:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","340,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0275,1","+0229,1","10108,1","3,1,006,1,+999,9","5,99,0051,1,999","SYN058FHPF1 46/// /3408 10275 20229 40108 53006 90200 333 91210="
"99400899999","2023-06-10T03:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","320,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0276,1","+0231,1","10115,1","3,1,011,1,+999,9","5,99,0036,1,999","SYN058FHPF1 46/// /3205 10276 20231 40115 53011 90300 333 91207="
"99400899999","2023-06-10T04:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","320,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0274,1","+0229,1","10114,1","1,1,010,1,+999,9","5,99,0015,1,999","SYN058FHPF1 46/// /3203 10274 20229 40114 51010 90400 333 91203="
