"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"78256199999","2023-01-02T02:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","060,1,N,0051,1","99999,9,9,N","009000,1,9,9","+0250,1","+0220,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10200,1,99999,9",,,,"MET051METAR MUCC 020250Z 06010KT 9000 SCT020 25/22 Q1020=",
"78256199999","2023-01-02T03:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,N,0051,1","99999,9,9,N","009000,1,9,9","+0250,1","+0220,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10200,1,99999,9",,,,"MET051METAR MUCC 020350Z 07010KT 9000 SCT020 25/22 Q1020=",
"78256199999","2023-01-02T04:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,N,0051,1","99999,9,9,N","009000,1,9,9","+0250,1","+0220,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10190,1,99999,9",,,,"MET051METAR MUCC 020450Z 07010KT 9000 SCT020 25/22 Q1019=",
"78256199999","2023-01-02T05:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,N,0046,1","99999,9,9,N","009000,1,9,9","+0250,1","+0210,1","99999,9",,"02,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10190,1,99999,9",,,,"MET051METAR MUCC 020550Z 07009KT 9000 FEW020 25/21 Q1019=",
"78256199999","2023-01-02T06:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","080,1,N,0041,1","99999,9,9,N","009000,1,9,9","+0250,1","+0220,1","99999,9",,"02,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10190,1,99999,9",,,,"MET051METAR MUCC 020650Z 08008KT 9000 FEW020 25/22 Q1019=",
"78256199999","2023-01-02T07:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,N,0041,1","99999,9,9,N","009000,1,9,9","+0240,1","+0210,1","99999,9",,"02,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10180,1,99999,9",,,,"MET051METAR MUCC 020750Z 07008KT 9000 FEW020 24/21 Q1018=",
"78256199999","2023-01-02T08:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,N,0036,1","99999,9,9,N","008000,1,9,9","+0240,1","+0210,1","99999,9",,"02,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10180,1,99999,9",,,,"MET051METAR MUCC 020850Z 07007KT 8000 FEW020 24/21 Q1018=",
"78256199999","2023-01-02T09:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,N,0041,1","99999,9,9,N","009000,1,9,9","+0250,1","+0210,1","99999,9",,"02,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10180,1,99999,9",,,,"MET051METAR MUCC 020950Z 07008KT 9000 FEW020 25/21 Q1018=",
"78256199999","2023-01-02T10:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","080,1,N,0041,1","99999,9,9,N","009000,1,9,9","+0240,1","+0210,1","99999,9",,"02,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10190,1,99999,9",,,,"MET051METAR MUCC 021050Z 08008KT 9000 FEW020 24/21 Q1019=",
"78256199999","2023-01-02T11:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","060,1,N,0046,1","99999,9,9,N","009000,1,9,9","+0250,1","+0210,1","99999,9",,"02,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10190,1,99999,9",,,,"MET051METAR MUCC 021150Z 06009KT 9000 FEW020 25/21 Q1019=",
"78256199999","2023-01-02T12:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,N,0057,1","99999,9,9,N","009000,1,9,9","+0260,1","+0210,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10200,1,99999,9",,,,"MET051METAR MUCC 021250Z 07011KT 9000 SCT020 26/21 Q1020=",
"78256199999","2023-01-02T13:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,N,0062,1","99999,9,9,N","009000,1,9,9","+0270,1","+0210,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10200,1,99999,9",,,,"MET051METAR MUCC 021350Z 07012KT 9000 SCT020 27/21 Q1020=",
"78256199999","2023-01-02T14:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","080,1,N,0067,1","99999,9,9,N","009000,1,9,9","+0280,1","+0220,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10210,1,99999,9",,,,"MET051METAR MUCC 021450Z 08013KT 9000 SCT020 28/22 Q1021=",
"78256199999","2023-01-02T15:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","080,1,N,0067,1","99999,9,9,N","009000,1,9,9","+0280,1","+0220,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10210,1,99999,9",,,,"MET051METAR MUCC 021550Z 08013KT 9000 SCT020 28/22 Q1021=",
"78256199999","2023-01-02T16:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,N,0067,1","99999,9,9,N","009000,1,9,9","+0280,1","+0220,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10200,1,99999,9",,,,"MET051METAR MUCC 021650Z 07013KT 9000 SCT020 28/22 Q1020=",
"78256199999","2023-01-02T17:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,N,0072,1","99999,9,9,N","009000,1,9,9","+0280,1","+0210,1","99999,9",,"04,1,+00762,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00762,1,99,9,99,9","10190,1,99999,9",,,,"MET051METAR MUCC 021750Z 07014KT 9000 SCT025 28/21 Q1019=",
"78256199999","2023-01-02T18:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,N,0072,1","99999,9,9,N","009000,1,9,9","+0280,1","+0220,1","99999,9",,"04,1,+00762,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00762,1,99,9,99,9","10180,1,99999,9",,,,"MET051METAR MUCC 021850Z 07014KT 9000 SCT025 28/22 Q1018=",
"78256199999","2023-01-02T19:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","060,1,N,0082,1","99999,9,9,N","009000,1,9,9","+0280,1","+0210,1","99999,9",,"04,1,+00762,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00762,1,99,9,99,9","10180,1,99999,9",,,,"MET051METAR MUCC 021950Z 06016KT 9000 SCT025 28/21 Q1018=",
