"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","REM","EQD"
"89272099999","2023-05-15T09:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","350,1,N,0227,1","99999,9,9,N","999999,9,9,9","-0149,1","-0158,1","09414,1","99999,9,07807,1","7,1,001,1,+999,9","SYN05489272 46/// /3544 11149 21158 37807 49414 57001 90900=",
"89272099999","2023-05-15T12:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","350,1,N,0221,1","99999,9,9,N","999999,9,9,9","-0150,1","-0160,1","09425,1","99999,9,07816,1","2,1,009,1,+999,9","SYN05489272 46/// /3543 11150 21160 37816 49425 52009 91200=",
"89272099999","2023-05-15T15:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","350,1,N,0211,1","99999,9,9,N","999999,9,9,9","-0149,1","-0158,1","09438,1","99999,9,07827,1","2,1,011,1,+999,9","SYN05489272 46/// /3541 11149 21158 37827 49438 52011 91500=",
"89272099999","2023-05-15T18:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","340,1,N,0160,1","99999,9,9,N","999999,9,9,9","-0144,1","-0152,1","09482,1","99999,9,07866,1","2,1,039,1,+999,9","SYN05489272 46/// /3431 11144 21152 37866 49482 52039 91800=",
"89272099999","2023-05-15T21:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","350,1,N,0160,1","99999,9,9,N","999999,9,9,9","-0157,1","-0168,1","09496,1","99999,9,07871,1","2,1,005,1,+999,9","SYN05489272 46/// /3531 11157 21168 37871 49496 52005 92100=",
"89272099999","2023-05-16T00:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","350,1,N,0129,1","99999,9,9,N","999999,9,9,9","-0176,1","-0191,1","09511,1","99999,9,07873,1","2,1,002,1,+999,9","SYN05489272 46/// /3525 11176 21191 37873 49511 52002 90000=",
"89272099999","2023-05-16T03:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","330,1,N,0072,1","99999,9,9,N","999999,9,9,9","-0174,1","-0189,1","09535,1","99999,9,07894,1","2,1,021,1,+999,9","SYN05489272 46/// /3314 11174 21189 37894 49535 52021 90300=",
"89272099999","2023-05-16T06:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","330,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0186,1","-0203,1","09556,1","99999,9,07905,1","2,1,011,1,+999,9","SYN05489272 46/// /3312 11186 21203 37905 49556 52011 90600=",
"89272099999","2023-05-16T09:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","340,1,N,0072,1","99999,9,9,N","999999,9,9,9","-0188,1","-0206,1","09559,1","99999,9,07907,1","2,1,002,1,+999,9","SYN05489272 46/// /3414 11188 21206 37907 49559 52002 90900=",
"89272099999","2023-05-16T12:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","330,1,N,0088,1","99999,9,9,N","999999,9,9,9","-0190,1","-0208,1","09565,1","99999,9,07911,1","2,1,004,1,+999,9","SYN05489272 46/// /3317 11190 21208 37911 49565 52004 91200=",
"89272099999","2023-05-16T15:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","340,1,N,0134,1","99999,9,9,N","999999,9,9,9","-0197,1","-0217,1","09565,1","99999,9,07907,1","7,1,004,1,+999,9","SYN05489272 46/// /3426 11197 21217 37907 49565 57004 91500=",
"89272099999","2023-05-16T18:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","340,1,N,0108,1","99999,9,9,N","999999,9,9,9","-0203,1","-0224,1","09582,1","99999,9,07918,1","2,1,011,1,+999,9","SYN05489272 46/// /3421 11203 21224 37918 49582 52011 91800=",
"89272099999","2023-05-16T21:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","340,1,N,0077,1","99999,9,9,N","999999,9,9,9","-0234,1","-0260,1","09629,1","99999,9,07939,1","2,1,021,1,+999,9","SYN05489272 46/// /3415 11234 21260 37939 49629 52021 92100=",
"89272099999","2023-05-17T00:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","350,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0246,1","-0274,1","09653,1","99999,9,07952,1","2,1,013,1,+999,9","SYN05489272 46/// /3512 11246 21274 37952 49653 52013 90000=",
"89272099999","2023-05-17T03:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","320,1,N,0057,1","99999,9,9,N","999999,9,9,9","-0214,1","-0237,1","09633,1","99999,9,07954,1","2,1,002,1,+999,9","SYN05489272 46/// /3211 11214 21237 37954 49633 52002 90300=",
"89272099999","2023-05-17T06:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","350,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0232,1","-0258,1","09655,1","99999,9,07962,1","2,1,008,1,+999,9","SYN05489272 46/// /3513 11232 21258 37962 49655 52008 90600=",
"89272099999","2023-05-17T09:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","340,1,N,0057,1","99999,9,9,N","999999,9,9,9","-0260,1","-0291,1","09676,1","99999,9,07963,1","2,1,001,1,+999,9","SYN05489272 46/// /3411 11260 21291 37963 49676 52001 90900=",
"89272099999","2023-05-17T12:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","350,1,N,0051,1","99999,9,9,N","999999,9,9,9","-0261,1","-0293,1","09675,1","99999,9,07962,1","7,1,001,1,+999,9","SYN05489272 46/// /3510 11261 21293 37962 49675 57001 91200=",
"89272099999","2023-05-17T15:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","030,1,N,0051,1","99999,9,9,N","999999,9,9,9","-0260,1","-0292,1","09668,1","99999,9,07957,1","7,1,005,1,+999,9","SYN05489272 46/// /0310 11260 21292 37957 49668 57005 91500=",
"89272099999","2023-05-17T18:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","050,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0272,1","-0306,1","09667,1","99999,9,07949,1","7,1,008,1,+999,9","SYN05489272 46/// /0512 11272 21306 37949 49667 57008 91800=",
"89272099999","2023-05-17T21:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","040,1,N,0082,1","99999,9,9,N","999999,9,9,9","-0200,1","-0221,1","09606,1","99999,9,07939,1","7,1,010,1,+999,9","SYN05489272 46/// /0416 11200 21221 37939 49606 57010 92100=",
"89272099999","2023-05-18T00:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","010,1,N,0129,1","99999,9,9,N","999999,9,9,9","-0161,1","-0174,1","09564,1","99999,9,07925,1","7,1,014,1,+999,9","SYN05489272 46/// /0125 11161 21174 37925 49564 57014 90000=",
"89272099999","2023-05-18T03:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","020,1,N,0088,1","99999,9,9,N","999999,9,9,9","-0170,1","-0185,1","09574,1","99999,9,07929,1","2,1,004,1,+999,9","SYN05489272 46/// /0217 11170 21185 37929 49574 52004 90300=",
"89272099999","2023-05-18T06:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","020,1,N,0088,1","99999,9,9,N","999999,9,9,9","-0166,1","-0180,1","09572,1","99999,9,07929,1","4,1,000,1,+999,9","SYN05489272 46/// /0217 11166 21180 37929 49572 54000 90600=",
"89272099999","2023-05-18T09:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","030,1,N,0098,1","99999,9,9,N","999999,9,9,9","-0173,1","-0188,1","09570,1","99999,9,07924,1","7,1,005,1,+999,9","SYN05489272 46/// /0319 11173 21188 37924 49570 57005 90900=",
"89272099999","2023-05-18T12:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","040,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0211,1","-0233,1","09593,1","99999,9,07922,1","7,1,002,1,+999,9","SYN05489272 46/// /0412 11211 21233 37922 49593 57002 91200=",
"89272099999","2023-05-18T15:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","050,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0230,1","-0256,1","09598,1","99999,9,07916,1","7,1,006,1,+999,9","SYN05489272 46/// /0512 11230 21256 37916 49598 57006 91500=",
