"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","SA1","REM","EQD"
"99729099999","2023-07-20T17:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","150,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0247,1","+9999,9","10148,1","8,1,010,1,+999,9","5,99,0062,1,999","+237,1","SYN080BRHC3 46/// /1510 10247 40148 58010 91700 222// 00237 333 91212 555 11010 22011=",
"99729099999","2023-07-20T18:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","150,1,N,0031,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10145,1","8,1,010,1,+999,9","5,99,0046,1,999","+237,1","SYN080BRHC3 46/// /1506 1//// 40145 58010 91800 222// 00237 333 91209 555 11007 22007=",
"99729099999","2023-07-20T19:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","160,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0260,1","+9999,9","10141,1","6,1,012,1,+999,9","5,99,0041,1,999","+237,1","SYN080BRHC3 46/// /1606 10260 40141 56012 91900 222// 00237 333 91208 555 11006 22007=",
"99729099999","2023-07-20T20:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","150,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0266,1","+9999,9","10140,1","6,1,008,1,+999,9","5,99,0036,1,999","+241,1","SYN080BRHC3 46/// /1506 10266 40140 56008 92000 222// 00241 333 91207 555 11007 22007=",
"99729099999","2023-07-20T21:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","150,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0271,1","+9999,9","10136,1","7,1,009,1,+999,9","5,99,0041,1,999","+240,1","SYN080BRHC3 46/// /1506 10271 40136 57009 92100 222// 00240 333 91208 555 11007 22007=",
"99729099999","2023-07-20T22:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","150,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0262,1","+9999,9","10127,1","8,1,014,1,+999,9","5,99,0026,1,999","+244,1","SYN080BRHC3 46/// /1504 10262 40127 58014 92200 222// 00244 333 91205 555 11004 22005=",
"99729099999","2023-07-20T23:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","150,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0261,1","+9999,9","10121,1","8,1,019,1,+999,9","5,99,0031,1,999","+248,1","SYN080BRHC3 46/// /1504 10261 40121 58019 92300 222// 00248 333 91206 555 11004 22004=",
"99729099999","2023-07-21T00:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","130,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0259,1","+9999,9","10120,1","6,1,016,1,+999,9","5,99,0036,1,999","+251,1","SYN080BRHC3 46/// /1306 10259 40120 56016 90000 222// 00251 333 91207 555 11006 22007=",
"99729099999","2023-07-21T01:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","210,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0251,1","+9999,9","10120,1","6,1,007,1,+999,9","5,99,0057,1,999","+250,1","SYN080BRHC3 46/// /2107 10251 40120 56007 90100 222// 00250 333 91211 555 11007 22007=",
"99729099999","2023-07-21T02:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","220,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0249,1","+9999,9","10122,1","4,1,000,1,+999,9","5,99,0041,1,999","+247,1","SYN080BRHC3 46/// /2205 10249 40122 54000 90200 222// 00247 333 91208 555 11005 22006=",
"99729099999","2023-07-21T03:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","200,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0245,1","+9999,9","10120,1","4,1,000,1,+999,9","5,99,0041,1,999","+248,1","SYN080BRHC3 46/// /2005 10245 40120 54000 90300 222// 00248 333 91208 555 11006 22006=",
"99729099999","2023-07-21T04:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","210,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0237,1","+9999,9","10116,1","8,1,004,1,+999,9","5,99,0031,1,999","+247,1","SYN080BRHC3 46/// /2105 10237 40116 58004 90400 222// 00247 333 91206 555 11005 22005=",
"99729099999","2023-07-21T05:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","200,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0235,1","+9999,9","10111,1","8,1,011,1,+999,9","5,99,0031,1,999","+248,1","SYN080BRHC3 46/// /2005 10235 40111 58011 90500 222// 00248 333 91206 555 11005 22005=",
"99729099999","2023-07-21T06:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","210,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0232,1","+9999,9","10104,1","8,1,016,1,+999,9","5,99,0026,1,999","+248,1","SYN080BRHC3 46/// /2104 10232 40104 58016 90600 222// 00248 333 91205 555 11004 22004=",
"99729099999","2023-07-21T07:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","150,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0230,1","+9999,9","10098,1","8,1,018,1,+999,9","5,99,0026,1,999","+251,1","SYN080BRHC3 46/// /1504 10230 40098 58018 90700 222// 00251 333 91205 555 11004 22004=",
"99729099999","2023-07-21T08:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","150,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0231,1","+9999,9","10097,1","6,1,014,1,+999,9","5,99,0046,1,999","+254,1","SYN080BRHC3 46/// /1506 10231 40097 56014 90800 222// 00254 333 91209 555 11006 22007=",
"99729099999","2023-07-21T09:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","150,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0230,1","+9999,9","10095,1","6,1,009,1,+999,9","5,99,0046,1,999","+256,1","SYN080BRHC3 46/// /1505 10230 40095 56009 90900 222// 00256 333 91209 555 11006 22006=",
